province_id_legacy63,year,ftth_download_median_apr_dec_mbps
VN_LEGACY63_01,2021,58.68
VN_LEGACY63_01,2022,69.51
VN_LEGACY63_01,2023,90.13
VN_LEGACY63_01,2024,97.81
VN_LEGACY63_02,2021,50.85
VN_LEGACY63_02,2022,58.27
VN_LEGACY63_02,2023,91.51
VN_LEGACY63_02,2024,88.87
VN_LEGACY63_04,2021,45.93
VN_LEGACY63_04,2022,49.42
VN_LEGACY63_04,2023,67.63
VN_LEGACY63_04,2024,70.38
VN_LEGACY63_06,2021,39.8
VN_LEGACY63_06,2022,42.14
VN_LEGACY63_06,2023,71.38
VN_LEGACY63_06,2024,77.17
VN_LEGACY63_08,2021,51.34
VN_LEGACY63_08,2022,68.77
VN_LEGACY63_08,2023,89.63
VN_LEGACY63_08,2024,91.45
VN_LEGACY63_10,2021,47.45
VN_LEGACY63_10,2022,54.67
VN_LEGACY63_10,2023,86.46
VN_LEGACY63_10,2024,85.8
VN_LEGACY63_11,2021,42.33
VN_LEGACY63_11,2022,87.9
VN_LEGACY63_11,2023,96.02
VN_LEGACY63_11,2024,90.23
VN_LEGACY63_12,2021,47.13
VN_LEGACY63_12,2022,84.55
VN_LEGACY63_12,2023,131.68
VN_LEGACY63_12,2024,58.22
VN_LEGACY63_14,2021,44.74
VN_LEGACY63_14,2022,49.15
VN_LEGACY63_14,2023,94.34
VN_LEGACY63_14,2024,55.48
VN_LEGACY63_15,2021,47.46
VN_LEGACY63_15,2022,49.15
VN_LEGACY63_15,2023,70.97
VN_LEGACY63_15,2024,86.14
VN_LEGACY63_17,2021,50.11
VN_LEGACY63_17,2022,77.05
VN_LEGACY63_17,2023,90.13
VN_LEGACY63_17,2024,83.21
VN_LEGACY63_19,2021,49.53
VN_LEGACY63_19,2022,50.72
VN_LEGACY63_19,2023,87.71
VN_LEGACY63_19,2024,76.48
VN_LEGACY63_20,2021,41.98
VN_LEGACY63_20,2022,44.41
VN_LEGACY63_20,2023,75.19
VN_LEGACY63_20,2024,82.4
VN_LEGACY63_22,2021,51.61
VN_LEGACY63_22,2022,51.28
VN_LEGACY63_22,2023,76.45
VN_LEGACY63_22,2024,91.21
VN_LEGACY63_24,2021,47.17
VN_LEGACY63_24,2022,61.09
VN_LEGACY63_24,2023,84.09
VN_LEGACY63_24,2024,84.7
VN_LEGACY63_25,2021,50.01
VN_LEGACY63_25,2022,57.65
VN_LEGACY63_25,2023,83.35
VN_LEGACY63_25,2024,85.94
VN_LEGACY63_26,2021,48.07
VN_LEGACY63_26,2022,61.33
VN_LEGACY63_26,2023,81.7
VN_LEGACY63_26,2024,93.18
VN_LEGACY63_27,2021,53.02
VN_LEGACY63_27,2022,60.26
VN_LEGACY63_27,2023,89.51
VN_LEGACY63_27,2024,92.46
VN_LEGACY63_30,2021,50.11
VN_LEGACY63_30,2022,55.0
VN_LEGACY63_30,2023,79.21
VN_LEGACY63_30,2024,89.67
VN_LEGACY63_31,2021,51.2
VN_LEGACY63_31,2022,52.24
VN_LEGACY63_31,2023,81.3
VN_LEGACY63_31,2024,92.66
VN_LEGACY63_33,2021,52.3
VN_LEGACY63_33,2022,53.11
VN_LEGACY63_33,2023,85.27
VN_LEGACY63_33,2024,91.14
VN_LEGACY63_34,2021,48.23
VN_LEGACY63_34,2022,65.4
VN_LEGACY63_34,2023,91.43
VN_LEGACY63_34,2024,90.64
VN_LEGACY63_35,2021,44.01
VN_LEGACY63_35,2022,44.79
VN_LEGACY63_35,2023,72.14
VN_LEGACY63_35,2024,88.82
VN_LEGACY63_36,2021,49.18
VN_LEGACY63_36,2022,61.29
VN_LEGACY63_36,2023,92.84
VN_LEGACY63_36,2024,86.54
VN_LEGACY63_37,2021,49.39
VN_LEGACY63_37,2022,67.65
VN_LEGACY63_37,2023,89.6
VN_LEGACY63_37,2024,82.72
VN_LEGACY63_38,2021,45.51
VN_LEGACY63_38,2022,62.13
VN_LEGACY63_38,2023,81.17
VN_LEGACY63_38,2024,77.42
VN_LEGACY63_40,2021,44.46
VN_LEGACY63_40,2022,41.2
VN_LEGACY63_40,2023,63.03
VN_LEGACY63_40,2024,74.21
VN_LEGACY63_42,2021,43.96
VN_LEGACY63_42,2022,47.36
VN_LEGACY63_42,2023,73.96
VN_LEGACY63_42,2024,81.82
VN_LEGACY63_44,2021,41.15
VN_LEGACY63_44,2022,55.21
VN_LEGACY63_44,2023,95.56
VN_LEGACY63_44,2024,83.41
VN_LEGACY63_45,2021,41.13
VN_LEGACY63_45,2022,48.15
VN_LEGACY63_45,2023,77.06
VN_LEGACY63_45,2024,88.96
VN_LEGACY63_46,2021,49.46
VN_LEGACY63_46,2022,49.14
VN_LEGACY63_46,2023,83.35
VN_LEGACY63_46,2024,92.18
VN_LEGACY63_48,2021,53.9
VN_LEGACY63_48,2022,65.43
VN_LEGACY63_48,2023,91.65
VN_LEGACY63_48,2024,99.22
VN_LEGACY63_49,2021,45.9
VN_LEGACY63_49,2022,55.13
VN_LEGACY63_49,2023,81.03
VN_LEGACY63_49,2024,94.18
VN_LEGACY63_51,2021,45.4
VN_LEGACY63_51,2022,59.09
VN_LEGACY63_51,2023,98.88
VN_LEGACY63_51,2024,93.47
VN_LEGACY63_52,2021,45.01
VN_LEGACY63_52,2022,52.2
VN_LEGACY63_52,2023,83.51
VN_LEGACY63_52,2024,84.05
VN_LEGACY63_54,2021,45.31
VN_LEGACY63_54,2022,46.49
VN_LEGACY63_54,2023,71.0
VN_LEGACY63_54,2024,80.88
VN_LEGACY63_56,2021,48.95
VN_LEGACY63_56,2022,62.44
VN_LEGACY63_56,2023,91.17
VN_LEGACY63_56,2024,89.38
VN_LEGACY63_58,2021,46.58
VN_LEGACY63_58,2022,78.62
VN_LEGACY63_58,2023,108.12
VN_LEGACY63_58,2024,91.18
VN_LEGACY63_60,2021,47.43
VN_LEGACY63_60,2022,61.21
VN_LEGACY63_60,2023,89.07
VN_LEGACY63_60,2024,92.26
VN_LEGACY63_62,2021,48.34
VN_LEGACY63_62,2022,49.72
VN_LEGACY63_62,2023,74.96
VN_LEGACY63_62,2024,76.45
VN_LEGACY63_64,2021,51.09
VN_LEGACY63_64,2022,71.79
VN_LEGACY63_64,2023,93.6
VN_LEGACY63_64,2024,95.5
VN_LEGACY63_66,2021,48.96
VN_LEGACY63_66,2022,49.31
VN_LEGACY63_66,2023,81.39
VN_LEGACY63_66,2024,91.3
VN_LEGACY63_67,2021,46.85
VN_LEGACY63_67,2022,49.61
VN_LEGACY63_67,2023,76.64
VN_LEGACY63_67,2024,72.04
VN_LEGACY63_68,2021,51.36
VN_LEGACY63_68,2022,56.59
VN_LEGACY63_68,2023,86.53
VN_LEGACY63_68,2024,90.23
VN_LEGACY63_70,2021,48.79
VN_LEGACY63_70,2022,53.88
VN_LEGACY63_70,2023,86.63
VN_LEGACY63_70,2024,98.82
VN_LEGACY63_72,2021,53.28
VN_LEGACY63_72,2022,75.32
VN_LEGACY63_72,2023,98.61
VN_LEGACY63_72,2024,97.68
VN_LEGACY63_74,2021,54.48
VN_LEGACY63_74,2022,65.7
VN_LEGACY63_74,2023,96.16
VN_LEGACY63_74,2024,101.22
VN_LEGACY63_75,2021,51.83
VN_LEGACY63_75,2022,77.3
VN_LEGACY63_75,2023,97.37
VN_LEGACY63_75,2024,108.01
VN_LEGACY63_77,2021,49.3
VN_LEGACY63_77,2022,58.57
VN_LEGACY63_77,2023,89.33
VN_LEGACY63_77,2024,99.83
VN_LEGACY63_79,2021,58.16
VN_LEGACY63_79,2022,74.93
VN_LEGACY63_79,2023,95.97
VN_LEGACY63_79,2024,105.13
VN_LEGACY63_80,2021,47.73
VN_LEGACY63_80,2022,68.07
VN_LEGACY63_80,2023,89.69
VN_LEGACY63_80,2024,92.83
VN_LEGACY63_82,2021,47.64
VN_LEGACY63_82,2022,58.32
VN_LEGACY63_82,2023,95.23
VN_LEGACY63_82,2024,97.15
VN_LEGACY63_83,2021,47.08
VN_LEGACY63_83,2022,61.52
VN_LEGACY63_83,2023,99.31
VN_LEGACY63_83,2024,93.4
VN_LEGACY63_84,2021,45.63
VN_LEGACY63_84,2022,52.45
VN_LEGACY63_84,2023,85.8
VN_LEGACY63_84,2024,89.65
VN_LEGACY63_86,2021,47.05
VN_LEGACY63_86,2022,56.41
VN_LEGACY63_86,2023,81.65
VN_LEGACY63_86,2024,94.54
VN_LEGACY63_87,2021,45.78
VN_LEGACY63_87,2022,52.58
VN_LEGACY63_87,2023,87.35
VN_LEGACY63_87,2024,90.65
VN_LEGACY63_89,2021,47.82
VN_LEGACY63_89,2022,57.67
VN_LEGACY63_89,2023,92.45
VN_LEGACY63_89,2024,99.64
VN_LEGACY63_91,2021,48.4
VN_LEGACY63_91,2022,62.15
VN_LEGACY63_91,2023,89.02
VN_LEGACY63_91,2024,97.49
VN_LEGACY63_92,2021,49.27
VN_LEGACY63_92,2022,66.29
VN_LEGACY63_92,2023,94.9
VN_LEGACY63_92,2024,99.36
VN_LEGACY63_93,2021,44.35
VN_LEGACY63_93,2022,62.4
VN_LEGACY63_93,2023,96.93
VN_LEGACY63_93,2024,98.65
VN_LEGACY63_94,2021,49.01
VN_LEGACY63_94,2022,67.25
VN_LEGACY63_94,2023,98.6
VN_LEGACY63_94,2024,97.1
VN_LEGACY63_95,2021,49.42
VN_LEGACY63_95,2022,67.18
VN_LEGACY63_95,2023,97.3
VN_LEGACY63_95,2024,98.68
VN_LEGACY63_96,2021,46.71
VN_LEGACY63_96,2022,57.44
VN_LEGACY63_96,2023,90.28
VN_LEGACY63_96,2024,97.33
