province_id_legacy63,shapeISO,ftth_change_2021_2024_mbps
VN_LEGACY63_01,VN-HN,39.13
VN_LEGACY63_02,VN-03,38.02
VN_LEGACY63_04,VN-04,24.449999999999996
VN_LEGACY63_06,VN-53,37.370000000000005
VN_LEGACY63_08,VN-07,40.11
VN_LEGACY63_10,VN-02,38.349999999999994
VN_LEGACY63_11,VN-71,47.900000000000006
VN_LEGACY63_12,VN-01,11.089999999999996
VN_LEGACY63_14,VN-05,10.739999999999995
VN_LEGACY63_15,VN-06,38.68
VN_LEGACY63_17,VN-14,33.099999999999994
VN_LEGACY63_19,VN-69,26.950000000000003
VN_LEGACY63_20,VN-09,40.42000000000001
VN_LEGACY63_22,VN-13,39.599999999999994
VN_LEGACY63_24,VN-54,37.53
VN_LEGACY63_25,VN-68,35.93
VN_LEGACY63_26,VN-70,45.11000000000001
VN_LEGACY63_27,VN-56,39.43999999999999
VN_LEGACY63_30,VN-61,39.56
VN_LEGACY63_31,VN-HP,41.459999999999994
VN_LEGACY63_33,VN-66,38.84
VN_LEGACY63_34,VN-20,42.410000000000004
VN_LEGACY63_35,VN-63,44.809999999999995
VN_LEGACY63_36,VN-67,37.36000000000001
VN_LEGACY63_37,VN-18,33.33
VN_LEGACY63_38,VN-21,31.910000000000004
VN_LEGACY63_40,VN-22,29.749999999999993
VN_LEGACY63_42,VN-23,37.85999999999999
VN_LEGACY63_44,VN-24,42.26
VN_LEGACY63_45,VN-25,47.82999999999999
VN_LEGACY63_46,VN-26,42.720000000000006
VN_LEGACY63_48,VN-DN,45.32
VN_LEGACY63_49,VN-27,48.28000000000001
VN_LEGACY63_51,VN-29,48.07
VN_LEGACY63_52,VN-31,39.04
VN_LEGACY63_54,VN-38,35.56999999999999
VN_LEGACY63_56,VN-34,40.42999999999999
VN_LEGACY63_58,VN-36,44.60000000000001
VN_LEGACY63_60,VN-40,44.830000000000005
VN_LEGACY63_62,VN-28,28.11
VN_LEGACY63_64,VN-30,44.41
VN_LEGACY63_66,VN-33,42.339999999999996
VN_LEGACY63_67,VN-72,25.190000000000005
VN_LEGACY63_68,VN-35,38.870000000000005
VN_LEGACY63_70,VN-58,50.029999999999994
VN_LEGACY63_72,VN-37,44.400000000000006
VN_LEGACY63_74,VN-57,46.74
VN_LEGACY63_75,VN-39,56.18000000000001
VN_LEGACY63_77,VN-43,50.53
VN_LEGACY63_79,VN-SG,46.97
VN_LEGACY63_80,VN-41,45.1
VN_LEGACY63_82,VN-46,49.510000000000005
VN_LEGACY63_83,VN-50,46.32000000000001
VN_LEGACY63_84,VN-51,44.02
VN_LEGACY63_86,VN-49,47.49000000000001
VN_LEGACY63_87,VN-45,44.870000000000005
VN_LEGACY63_89,VN-44,51.82
VN_LEGACY63_91,VN-47,49.089999999999996
VN_LEGACY63_92,VN-CT,50.089999999999996
VN_LEGACY63_93,VN-73,54.300000000000004
VN_LEGACY63_94,VN-52,48.089999999999996
VN_LEGACY63_95,VN-55,49.260000000000005
VN_LEGACY63_96,VN-59,50.62
