province_id_legacy63,province_name_canonical,ftth_rank_change_2021_2024,ftth_quartile_change_2021_2024
VN_LEGACY63_93,Hau Giang,-46.0,3
VN_LEGACY63_51,Quang Ngai,-31.0,2
VN_LEGACY63_96,Ca Mau,-30.0,2
VN_LEGACY63_49,Quang Nam,-28.0,1
VN_LEGACY63_89,An Giang,-28.0,2
VN_LEGACY63_86,Vinh Long,-24.0,1
VN_LEGACY63_11,Dien Bien,-23.5,1
VN_LEGACY63_45,Quang Tri,-22.0,1
VN_LEGACY63_83,Ben Tre,-20.0,1
VN_LEGACY63_70,Binh Phuoc,-20.0,1
VN_LEGACY63_82,Tien Giang,-20.0,2
VN_LEGACY63_77,Ba Ria - Vung Tau,-18.0,1
VN_LEGACY63_92,Can Tho,-17.0,1
VN_LEGACY63_91,Kien Giang,-16.0,1
VN_LEGACY63_35,Ha Nam,-15.0,1
VN_LEGACY63_87,Dong Thap,-15.0,1
VN_LEGACY63_58,Ninh Thuan,-14.0,1
VN_LEGACY63_60,Binh Thuan,-12.0,1
VN_LEGACY63_44,Quang Binh,-12.0,0
VN_LEGACY63_80,Long An,-11.0,1
VN_LEGACY63_84,Tra Vinh,-11.0,1
VN_LEGACY63_95,Bac Lieu,-11.0,1
VN_LEGACY63_26,Vinh Phuc,-10.0,1
VN_LEGACY63_94,Soc Trang,-9.0,1
VN_LEGACY63_20,Lang Son,-8.0,0
VN_LEGACY63_75,Dong Nai,-7.0,0
VN_LEGACY63_06,Bac Kan,-7.0,0
VN_LEGACY63_52,Binh Dinh,-5.0,0
VN_LEGACY63_42,Ha Tinh,-5.0,0
VN_LEGACY63_74,Binh Duong,0.0,0
VN_LEGACY63_79,TP. Ho Chi Minh,0.0,0
VN_LEGACY63_54,Phu Yen,2.0,0
VN_LEGACY63_66,Dak Lak,3.0,0
VN_LEGACY63_48,Da Nang,3.0,0
VN_LEGACY63_34,Thai Binh,3.0,-1
VN_LEGACY63_64,Gia Lai,4.0,-1
VN_LEGACY63_40,Nghe An,4.0,0
VN_LEGACY63_38,Thanh Hoa,5.0,0
VN_LEGACY63_72,Tay Ninh,7.0,0
VN_LEGACY63_24,Bac Giang,8.0,0
VN_LEGACY63_15,Yen Bai,8.0,0
VN_LEGACY63_46,Thua Thien - Hue,8.0,0
VN_LEGACY63_14,Son La,9.0,0
VN_LEGACY63_10,Lao Cai,9.0,0
VN_LEGACY63_01,Ha Noi,10.0,0
VN_LEGACY63_31,Hai Phong,12.0,-1
VN_LEGACY63_56,Khanh Hoa,12.0,-1
VN_LEGACY63_04,Cao Bang,15.0,-1
VN_LEGACY63_67,Dak Nong,17.0,-1
VN_LEGACY63_08,Tuyen Quang,17.0,-1
VN_LEGACY63_36,Nam Dinh,19.0,-1
VN_LEGACY63_27,Bac Ninh,19.0,-1
VN_LEGACY63_22,Quang Ninh,21.0,-1
VN_LEGACY63_30,Hai Duong,21.5,-2
VN_LEGACY63_12,Lai Chau,22.0,-1
VN_LEGACY63_33,Hung Yen,25.0,-2
VN_LEGACY63_68,Lam Dong,25.5,-2
VN_LEGACY63_02,Ha Giang,27.0,-2
VN_LEGACY63_62,Kon Tum,28.0,-2
VN_LEGACY63_25,Phu Tho,28.0,-1
VN_LEGACY63_37,Ninh Binh,30.0,-2
VN_LEGACY63_17,Hoa Binh,34.5,-3
VN_LEGACY63_19,Thai Nguyen,39.0,-2
