shapeISO,year,active_firms_per_1000
VN-HN,2021,21.42558551637694
VN-HN,2022,22.16864801914541
VN-HN,2023,22.38211098742401
VN-HN,2024,22.57907426743093
VN-03,2021,1.406853450511
VN-03,2022,1.42597423836957
VN-03,2023,1.6
VN-03,2024,1.6
VN-04,2021,2.1799390281013
VN-04,2022,2.25024491208945
VN-04,2023,2.3
VN-04,2024,2.2
VN-53,2021,2.02340452992547
VN-53,2022,2.18280700348078
VN-53,2023,2.3
VN-53,2024,2.3
VN-07,2021,1.98336468463254
VN-07,2022,2.1780084439712
VN-07,2023,2.3
VN-07,2024,2.3
VN-02,2021,4.00582761291
VN-02,2022,4.19159889383316
VN-02,2023,4.6
VN-02,2024,4.7
VN-71,2021,1.72135487906522
VN-71,2022,1.74925826086819
VN-71,2023,1.77968436137187
VN-71,2024,1.76182210640954
VN-01,2021,2.27828522458876
VN-01,2022,2.51402210348146
VN-01,2023,2.55680773051124
VN-01,2024,2.60356872053817
VN-05,2021,1.61836732655665
VN-05,2022,1.63984232285357
VN-05,2023,1.66674407750017
VN-05,2024,1.71053224909438
VN-06,2021,2.23930810482383
VN-06,2022,2.38419819532721
VN-06,2023,2.55981971388463
VN-06,2024,2.65970491747153
VN-14,2021,3.05027866981439
VN-14,2022,3.30371187794087
VN-14,2023,3.37545458468961
VN-14,2024,3.48909225468473
VN-69,2021,3.90507501039187
VN-69,2022,4.06965037833452
VN-69,2023,4.25372775105621
VN-69,2024,4.45576262775167
VN-09,2021,2.78565862631895
VN-09,2022,2.92610554925258
VN-09,2023,3.39148907179973
VN-09,2024,3.43983724655771
VN-13,2021,7.00891719802103
VN-13,2022,7.26992037426736
VN-13,2023,7.44877339235589
VN-13,2024,7.70627263768659
VN-54,2021,3.79525096357123
VN-54,2022,4.17837830691328
VN-54,2023,4.52999365488834
VN-54,2024,4.82167626432704
VN-68,2021,3.70604010999449
VN-68,2022,4.02328137061851
VN-68,2023,4.27802386521971
VN-68,2024,4.43752392512626
VN-70,2021,6.98282159144254
VN-70,2022,7.5984288787057
VN-70,2023,8.07118692759955
VN-70,2024,8.35720523304687
VN-56,2021,9.53145880398785
VN-56,2022,10.00772719637158
VN-56,2023,10.88543145993815
VN-56,2024,11.71607807904884
VN-61,2021,5.22827896890449
VN-61,2022,5.44734490091534
VN-61,2023,5.73563739978987
VN-61,2024,6.04125799826298
VN-HP,2021,9.55709077153028
VN-HP,2022,9.9280563135829
VN-HP,2023,9.99370079039404
VN-HP,2024,10.49742535846733
VN-66,2021,6.48008034448491
VN-66,2022,6.94734950249912
VN-66,2023,7.4972290843911
VN-66,2024,8.23103652337526
VN-20,2021,2.92493233992719
VN-20,2022,3.15830715162536
VN-20,2023,3.43987653632324
VN-20,2024,3.67281451490894
VN-63,2021,5.48436071404222
VN-63,2022,5.86297850241216
VN-63,2023,6.12136166715957
