province_id_legacy63,shapeISO,firm_density_change_2021_2024
VN_LEGACY63_01,VN-HN,1.1534887510539882
VN_LEGACY63_02,VN-03,0.19314654948900012
VN_LEGACY63_04,VN-04,0.020060971898700153
VN_LEGACY63_06,VN-53,0.2765954700745299
VN_LEGACY63_08,VN-07,0.3166353153674599
VN_LEGACY63_10,VN-02,0.6941723870900001
VN_LEGACY63_11,VN-71,0.04046722734432007
VN_LEGACY63_12,VN-01,0.3252834959494102
VN_LEGACY63_14,VN-05,0.0921649225377299
VN_LEGACY63_15,VN-06,0.4203968126477
VN_LEGACY63_17,VN-14,0.43881358487033983
VN_LEGACY63_19,VN-69,0.5506876173598001
VN_LEGACY63_20,VN-09,0.6541786202387603
VN_LEGACY63_22,VN-13,0.6973554396655599
VN_LEGACY63_24,VN-54,1.0264253007558102
VN_LEGACY63_25,VN-68,0.7314838151317695
VN_LEGACY63_26,VN-70,1.3743836416043296
VN_LEGACY63_27,VN-56,2.1846192750609905
VN_LEGACY63_30,VN-61,0.8129790293584893
VN_LEGACY63_31,VN-HP,0.9403345869370501
VN_LEGACY63_33,VN-66,1.7509561788903492
VN_LEGACY63_34,VN-20,0.7478821749817501
VN_LEGACY63_35,VN-63,1.0219045577324604
VN_LEGACY63_36,VN-67,0.42779902124527025
VN_LEGACY63_37,VN-18,0.9674090632501002
VN_LEGACY63_38,VN-21,0.70926330336549
VN_LEGACY63_40,VN-22,0.45933007450263963
VN_LEGACY63_42,VN-23,0.5435472973409201
VN_LEGACY63_44,VN-24,0.4015439436449597
VN_LEGACY63_45,VN-25,0.37779076303474923
VN_LEGACY63_46,VN-26,0.47188365350863926
VN_LEGACY63_48,VN-DN,-0.7635281993629413
VN_LEGACY63_49,VN-27,0.29412509847778967
VN_LEGACY63_51,VN-29,0.14756687536838964
VN_LEGACY63_52,VN-31,0.82062782350188
VN_LEGACY63_54,VN-38,0.3730136430868001
VN_LEGACY63_56,VN-34,0.07095641081932946
VN_LEGACY63_58,VN-36,0.4805864518914298
VN_LEGACY63_60,VN-40,0.3142404661728504
VN_LEGACY63_62,VN-28,0.13292924083182012
VN_LEGACY63_64,VN-30,0.31856074418865976
VN_LEGACY63_66,VN-33,0.48758411279110003
VN_LEGACY63_67,VN-72,0.44650571647839987
VN_LEGACY63_68,VN-35,0.41686922537464977
VN_LEGACY63_70,VN-58,0.6313765211830704
VN_LEGACY63_72,VN-37,0.5418284179719706
VN_LEGACY63_74,VN-57,1.2943709240464614
VN_LEGACY63_75,VN-39,0.29397738098130954
VN_LEGACY63_77,VN-43,0.8127255907128692
VN_LEGACY63_79,VN-SG,-0.9865357645085204
VN_LEGACY63_80,VN-41,1.27497525915473
VN_LEGACY63_82,VN-46,0.5563704046720899
VN_LEGACY63_83,VN-50,0.31960590941737
VN_LEGACY63_84,VN-51,0.3085642029897704
VN_LEGACY63_86,VN-49,0.2867256551167898
VN_LEGACY63_87,VN-45,0.3787697042289202
VN_LEGACY63_89,VN-44,0.25693388761281977
VN_LEGACY63_91,VN-47,0.29410872779588004
VN_LEGACY63_92,VN-CT,0.7838385418165599
VN_LEGACY63_93,VN-73,0.7816996163945
VN_LEGACY63_94,VN-52,0.1690784132464298
VN_LEGACY63_95,VN-55,0.11134881492853
VN_LEGACY63_96,VN-59,0.07291057694258996
