province_id_legacy63,year,ookla_rank,vnnic_rank
VN_LEGACY63_01,2021,32.0,57.0
VN_LEGACY63_01,2022,56.0,61.0
VN_LEGACY63_01,2023,57.0,43.0
VN_LEGACY63_01,2024,54.0,40.0
VN_LEGACY63_02,2021,2.0,26.0
VN_LEGACY63_02,2022,12.0,42.5
VN_LEGACY63_02,2023,12.0,30.0
VN_LEGACY63_02,2024,15.0,29.0
VN_LEGACY63_04,2021,27.0,15.0
VN_LEGACY63_04,2022,19.0,17.0
VN_LEGACY63_04,2023,9.0,3.0
VN_LEGACY63_04,2024,8.0,27.5
VN_LEGACY63_06,2021,4.0,3.0
VN_LEGACY63_06,2022,6.0,4.0
VN_LEGACY63_06,2023,14.0,1.0
VN_LEGACY63_06,2024,20.0,59.0
VN_LEGACY63_08,2021,25.0,60.0
VN_LEGACY63_08,2022,27.0,49.5
VN_LEGACY63_08,2023,31.0,35.0
VN_LEGACY63_08,2024,16.0,62.0
VN_LEGACY63_10,2021,21.0,5.0
VN_LEGACY63_10,2022,21.0,12.0
VN_LEGACY63_10,2023,26.0,31.0
VN_LEGACY63_10,2024,13.0,13.0
VN_LEGACY63_11,2021,12.0,9.0
VN_LEGACY63_11,2022,2.0,63.0
VN_LEGACY63_11,2023,15.0,48.0
VN_LEGACY63_11,2024,12.0,61.0
VN_LEGACY63_12,2021,31.0,10.0
VN_LEGACY63_12,2022,17.0,27.0
VN_LEGACY63_12,2023,8.0,63.0
VN_LEGACY63_12,2024,23.0,44.0
VN_LEGACY63_14,2021,18.0,18.0
VN_LEGACY63_14,2022,1.0,9.0
VN_LEGACY63_14,2023,1.0,49.0
VN_LEGACY63_14,2024,2.0,58.0
VN_LEGACY63_15,2021,15.0,19.0
VN_LEGACY63_15,2022,9.0,3.0
VN_LEGACY63_15,2023,10.0,4.0
VN_LEGACY63_15,2024,4.0,6.0
VN_LEGACY63_17,2021,22.0,13.0
VN_LEGACY63_17,2022,20.0,57.0
VN_LEGACY63_17,2023,5.0,24.0
VN_LEGACY63_17,2024,14.0,56.0
VN_LEGACY63_19,2021,9.0,36.0
VN_LEGACY63_19,2022,8.0,11.0
VN_LEGACY63_19,2023,18.0,29.0
VN_LEGACY63_19,2024,11.0,10.0
VN_LEGACY63_20,2021,7.0,14.0
VN_LEGACY63_20,2022,13.0,5.0
VN_LEGACY63_20,2023,23.0,5.0
VN_LEGACY63_20,2024,25.0,5.0
VN_LEGACY63_22,2021,30.0,53.0
VN_LEGACY63_22,2022,42.0,13.0
VN_LEGACY63_22,2023,34.0,7.0
VN_LEGACY63_22,2024,37.0,27.5
VN_LEGACY63_24,2021,8.0,11.0
VN_LEGACY63_24,2022,25.0,38.0
VN_LEGACY63_24,2023,27.0,28.0
VN_LEGACY63_24,2024,19.0,17.0
VN_LEGACY63_25,2021,13.0,50.0
VN_LEGACY63_25,2022,18.0,34.0
VN_LEGACY63_25,2023,20.0,21.0
VN_LEGACY63_25,2024,21.0,7.0
VN_LEGACY63_26,2021,11.0,12.0
VN_LEGACY63_26,2022,24.0,35.0
VN_LEGACY63_26,2023,24.0,11.0
VN_LEGACY63_26,2024,27.0,39.0
VN_LEGACY63_27,2021,19.0,56.0
VN_LEGACY63_27,2022,46.0,37.0
VN_LEGACY63_27,2023,46.0,36.0
VN_LEGACY63_27,2024,28.0,24.0
VN_LEGACY63_30,2021,16.0,17.0
VN_LEGACY63_30,2022,29.0,25.0
VN_LEGACY63_30,2023,22.0,12.0
VN_LEGACY63_30,2024,36.0,35.0
VN_LEGACY63_31,2021,28.0,41.0
VN_LEGACY63_31,2022,36.0,26.0
VN_LEGACY63_31,2023,25.0,13.0
VN_LEGACY63_31,2024,42.0,57.0
VN_LEGACY63_33,2021,23.0,52.0
VN_LEGACY63_33,2022,37.0,22.0
VN_LEGACY63_33,2023,43.0,22.0
VN_LEGACY63_33,2024,24.0,16.0
VN_LEGACY63_34,2021,5.0,29.0
VN_LEGACY63_34,2022,22.0,36.0
VN_LEGACY63_34,2023,13.0,45.0
VN_LEGACY63_34,2024,9.0,26.0
VN_LEGACY63_35,2021,24.0,7.0
VN_LEGACY63_35,2022,28.0,21.0
VN_LEGACY63_35,2023,17.0,6.0
VN_LEGACY63_35,2024,10.0,36.0
VN_LEGACY63_36,2021,10.0,47.5
VN_LEGACY63_36,2022,16.0,41.0
VN_LEGACY63_36,2023,16.0,39.0
VN_LEGACY63_36,2024,5.0,25.0
VN_LEGACY63_37,2021,6.0,25.0
VN_LEGACY63_37,2022,5.0,48.0
VN_LEGACY63_37,2023,7.0,37.0
VN_LEGACY63_37,2024,29.0,20.0
VN_LEGACY63_38,2021,17.0,24.0
VN_LEGACY63_38,2022,10.0,51.0
VN_LEGACY63_38,2023,6.0,32.0
VN_LEGACY63_38,2024,3.0,3.0
VN_LEGACY63_40,2021,1.0,8.0
VN_LEGACY63_40,2022,4.0,1.0
VN_LEGACY63_40,2023,4.0,2.0
VN_LEGACY63_40,2024,7.0,1.0
VN_LEGACY63_42,2021,3.0,2.0
VN_LEGACY63_42,2022,3.0,6.0
VN_LEGACY63_42,2023,3.0,10.0
VN_LEGACY63_42,2024,1.0,41.5
VN_LEGACY63_44,2021,14.0,1.0
VN_LEGACY63_44,2022,7.0,18.0
VN_LEGACY63_44,2023,2.0,51.0
VN_LEGACY63_44,2024,6.0,9.0
VN_LEGACY63_45,2021,26.0,4.0
VN_LEGACY63_45,2022,31.0,10.0
VN_LEGACY63_45,2023,19.0,14.0
VN_LEGACY63_45,2024,22.0,11.0
VN_LEGACY63_46,2021,34.0,42.0
VN_LEGACY63_46,2022,48.0,23.0
VN_LEGACY63_46,2023,47.0,20.0
VN_LEGACY63_46,2024,30.0,21.0
VN_LEGACY63_48,2021,62.0,55.0
VN_LEGACY63_48,2022,62.0,55.0
VN_LEGACY63_48,2023,61.0,38.0
VN_LEGACY63_48,2024,62.0,46.0
VN_LEGACY63_49,2021,33.0,37.0
VN_LEGACY63_49,2022,45.0,31.0
VN_LEGACY63_49,2023,50.0,16.0
VN_LEGACY63_49,2024,43.0,34.0
VN_LEGACY63_51,2021,42.0,21.0
VN_LEGACY63_51,2022,44.0,19.0
VN_LEGACY63_51,2023,36.0,59.0
VN_LEGACY63_51,2024,32.0,43.0
VN_LEGACY63_52,2021,43.0,6.0
VN_LEGACY63_52,2022,33.0,8.0
VN_LEGACY63_52,2023,52.0,25.0
