province_id_legacy63,ookla_change,vnnic_change,ookla_change_rank,vnnic_change_rank
VN_LEGACY63_01,66.407,48.43000000000001,57.0,24.0
VN_LEGACY63_02,38.9545,51.50000000000001,30.0,34.0
VN_LEGACY63_04,27.85600000000001,54.14,3.0,43.0
VN_LEGACY63_06,40.27749999999999,70.8,31.0,59.0
VN_LEGACY63_08,32.7135,116.92,11.0,62.0
VN_LEGACY63_10,34.104000000000006,52.64999999999999,13.0,39.0
VN_LEGACY63_11,35.297,112.06,20.0,61.0
VN_LEGACY63_12,33.911500000000004,59.46000000000001,12.0,55.0
VN_LEGACY63_14,27.1015,64.14,1.0,58.0
VN_LEGACY63_15,29.015,43.650000000000006,5.0,10.0
VN_LEGACY63_17,34.38400000000001,61.29,16.0,56.0
VN_LEGACY63_19,34.22,43.91,14.0,11.0
VN_LEGACY63_20,41.75950000000001,42.71000000000001,34.0,6.0
VN_LEGACY63_22,44.0565,45.900000000000006,39.0,17.0
VN_LEGACY63_24,38.309,51.720000000000006,29.0,36.0
VN_LEGACY63_25,37.68749999999999,39.22999999999999,25.0,5.0
VN_LEGACY63_26,43.679,58.36999999999999,37.0,53.0
VN_LEGACY63_27,42.544,44.1,36.0,12.0
VN_LEGACY63_30,47.1265,55.84,46.0,49.0
VN_LEGACY63_31,46.727,55.830000000000005,44.0,48.0
VN_LEGACY63_33,37.6935,43.24,26.0,8.0
VN_LEGACY63_34,34.65949999999999,50.48,17.0,30.0
VN_LEGACY63_35,31.5805,58.78,9.0,54.0
VN_LEGACY63_36,30.207,46.78,7.0,21.0
VN_LEGACY63_37,46.687,49.67,43.0,27.0
VN_LEGACY63_38,28.326,36.52,4.0,4.0
VN_LEGACY63_40,34.264,33.74999999999999,15.0,1.0
VN_LEGACY63_42,27.425000000000004,61.71000000000001,2.0,57.0
VN_LEGACY63_44,29.998500000000007,52.57,6.0,38.0
VN_LEGACY63_45,34.75299999999999,52.29,18.0,37.0
VN_LEGACY63_46,38.142,46.35000000000001,28.0,19.0
VN_LEGACY63_48,93.4095,50.36,62.0,29.0
VN_LEGACY63_49,47.0215,50.790000000000006,45.0,32.0
VN_LEGACY63_51,37.9,57.02,27.0,50.0
VN_LEGACY63_52,46.5465,53.91,42.0,42.0
VN_LEGACY63_54,36.57150000000001,36.1,23.0,2.0
VN_LEGACY63_56,60.97,42.81000000000001,53.0,7.0
VN_LEGACY63_58,35.1505,78.25,19.0,60.0
VN_LEGACY63_60,45.921,51.64999999999999,41.0,35.0
VN_LEGACY63_62,40.472,44.3,32.0,13.0
VN_LEGACY63_64,35.3925,203.12,21.0,63.0
VN_LEGACY63_66,53.7035,47.82,51.0,23.0
VN_LEGACY63_67,35.83299999999999,36.46000000000001,22.0,3.0
VN_LEGACY63_68,65.26400000000001,43.56,56.0,9.0
VN_LEGACY63_70,51.749,49.84,50.0,28.0
VN_LEGACY63_72,68.43299999999999,46.73,59.0,20.0
VN_LEGACY63_74,68.70450000000001,46.17,60.0,18.0
VN_LEGACY63_75,66.452,50.53,58.0,31.0
VN_LEGACY63_77,69.8175,53.74,61.0,41.0
VN_LEGACY63_79,94.33499999999998,45.57,63.0,14.0
VN_LEGACY63_80,61.664,45.79,54.0,15.0
VN_LEGACY63_82,54.351,47.50000000000001,52.0,22.0
VN_LEGACY63_83,50.2785,45.87,49.0,16.0
VN_LEGACY63_84,30.578500000000005,55.35,8.0,45.0
VN_LEGACY63_86,47.81,49.05,47.0,26.0
VN_LEGACY63_87,48.05350000000001,51.05,48.0,33.0
VN_LEGACY63_89,43.696,54.85,38.0,44.0
VN_LEGACY63_91,32.67199999999998,55.7,10.0,46.0
VN_LEGACY63_92,62.2445,53.31,55.0,40.0
VN_LEGACY63_93,41.185500000000005,55.75000000000001,33.0,47.0
VN_LEGACY63_94,42.31099999999999,57.91,35.0,52.0
VN_LEGACY63_95,37.499500000000005,48.74,24.0,25.0
VN_LEGACY63_96,45.27700000000001,57.56,40.0,51.0
