parent,child,relation
analysis_panel_2021_2024,table_01_panel_coverage,univariate_descriptive_only
analysis_panel_2021_2024,table_02_connectivity_summary_by_year,univariate_descriptive_only
analysis_panel_2021_2024,table_03_enterprise_summary_by_year,univariate_descriptive_only
analysis_panel_2021_2024,table_04_connectivity_dispersion,univariate_descriptive_only
analysis_panel_2021_2024,table_05_connectivity_rank_persistence,univariate_descriptive_only
analysis_panel_2021_2024,table_06_connectivity_quartile_transitions,univariate_descriptive_only
analysis_panel_2021_2024,table_07_change_distributions,univariate_descriptive_only
analysis_panel_2021_2024,figure_01_ftth_distribution_by_year_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_01_ftth_distribution_by_year,univariate_descriptive_only
analysis_panel_2021_2024,figure_01_ftth_distribution_by_year,univariate_descriptive_only
analysis_panel_2021_2024,figure_06_firm_density_distribution_by_year_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_06_firm_density_distribution_by_year,univariate_descriptive_only
analysis_panel_2021_2024,figure_06_firm_density_distribution_by_year,univariate_descriptive_only
analysis_panel_2021_2024,figure_02_ftth_average_province_trend_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_02_ftth_average_province_trend,univariate_descriptive_only
analysis_panel_2021_2024,figure_02_ftth_average_province_trend,univariate_descriptive_only
analysis_panel_2021_2024,figure_07_firm_density_average_province_trend_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_07_firm_density_average_province_trend,univariate_descriptive_only
analysis_panel_2021_2024,figure_07_firm_density_average_province_trend,univariate_descriptive_only
analysis_panel_2021_2024,figure_03_ftth_maps_2021_2024_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_03_ftth_maps_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_03_ftth_maps_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_08_firm_density_maps_2021_2024_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_08_firm_density_maps_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_08_firm_density_maps_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_04_ftth_change_map_2021_2024_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_04_ftth_change_map_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_04_ftth_change_map_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_09_firm_density_change_map_2021_2024_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_09_firm_density_change_map_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_09_firm_density_change_map_2021_2024,univariate_descriptive_only
analysis_panel_2021_2024,figure_05_ftth_rank_mobility_data,univariate_descriptive_only
analysis_panel_2021_2024,figure_05_ftth_rank_mobility,univariate_descriptive_only
analysis_panel_2021_2024,figure_05_ftth_rank_mobility,univariate_descriptive_only
analysis_panel_2021_2024,descriptive_outlier_review,univariate_descriptive_only
analysis_panel_2021_2024,descriptive_value_audit,univariate_descriptive_only
analysis_panel_2021_2024,descriptive_spot_checks,univariate_descriptive_only
analysis_panel_2021_2024,descriptive_classification,univariate_descriptive_only
