parent_path,parent_sha256,child,relation,run_id
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\processed\ookla_fixed_q2_adm1_2021_2024.parquet,7e0c6128a8fffb4fd4ed25c47ad792574cd784ea433266b44518045f2eea4dc5,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\processed\vnnic_q2_validation_2021_2024.parquet,62765b08d4022a0c1c5e1d8c15c97af6777204b632129d004dc03fe40860baeb,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\processed\fact_connectivity_province_year.parquet,c3d94f3b5e8c17dfc46cfa640e1ce95d499ceb327b1a7f9259c4580878306126,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\tables\table_08_measurement_validation_by_year.csv,74118e282d1e3350c5f281b74b8f29337ecb82adb142eba293ba82b9e1607e83,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\tables\table_09_measurement_change_concordance.csv,a06e3cbb0e9f833b26946d3d1be890bf24a313fcb6db484b48ea83eb52ab5364,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\tables\table_10_dispersion_source_comparison.csv,47795e05f91869353ac184cce824eacb5b1b2ad6487b51056d7570fc77b24dc9,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\tables\table_11_ookla_aggregation_sensitivity.csv,79c6b7530250543ef3b1995e2655ca865464edfdada45776fe65c16efbe97dd2,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_composition_audit.csv,1c4fc229fdbe6cc3aceedff072787f990e978686470fbeb92b704c69e98855a8,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\measurement_validation_decision.json,2cf862f7e20eef29bd8f2a2e5805d91cebb9d15f57570d3d3ac6e04cf4357b82,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\ookla_validation_partition_manifest.csv,178e46f0f9b1c4c890778dd41280caf60df3f669112b2249d8ce2483831d1656,Stage_A_measurement_review,POST_HOC_MEASUREMENT_DIAGNOSTIC,run_20260913T072518Z
