source_artifact_id,path,exists,file_size,sha256
canonical_geojson,D:\Q1_RESEARCH\GIS_DERIVED\CANONICAL_ADM1_63.geojson,True,3911819,c64a07c3fd5d3ca0339a5002983dc76ddd60a0ef88e889522e37ca2408f74400
canonical_geometry_validation,D:\Q1_RESEARCH\GIS_LOGS\adm1_2021_geometry_validation.csv,True,167,8a3684169c5c2c09fa1c4d6b67d62448862fa542642ca1aa984040a176e69ae8
canonical_manifest,D:\Q1_RESEARCH\GIS_LOGS\canonical_adm1_manifest.csv,True,934,4c3c5e677ff35475f3b0c276b226f54f59b90926f0aacdb6908a2da232eec026
ookla_manifest,D:\Q1_RESEARCH\OOKLA_RAW\SHA256_manifest.csv,True,9423,bc75cb322bd11a66a7da993b003b15fc1a533aa23941ca4e1fe8b805742d61cf
ookla_schema_registry,D:\Q1_RESEARCH\OOKLA_LOGS\ookla_schema_registry.csv,True,28270,7ae88773f9e1584ca09cd117a027345e92cec0073caf55f81ce44ae657fdc9c2
province_crosswalk,D:\Q1_RESEARCH\GIS_DERIVED\vnnic_adm1_crosswalk_63.csv,True,5306,77cf3677cdb26332219ac7a55f0b5ce1504822f7cf23f4442cb2d29c12643894
readiness_report,D:\Q1_RESEARCH\TREATMENT_ACQUISITION\REPORTS\research_data_readiness_report.md,True,19245,859303caad1969d07aa9143246dc8e397443cb6f34c16f378777603a9aceb44d
readiness_summary,D:\Q1_RESEARCH\TREATMENT_ACQUISITION\REPORTS\research_data_readiness_summary.json,True,6246,1d476d667cc614c9db6c302f3bda7ff0d118730d597ca3aa28eaf6f2d21c0758
treatment_gate,D:\Q1_RESEARCH\TREATMENT_ACQUISITION\REPORTS\treatment_gate_summary.json,True,3689,a3ed931d523e9337db9a1c0e41b3657ff862724ab9da65e74fff218e56226c71
treatment_report,D:\Q1_RESEARCH\TREATMENT_ACQUISITION\REPORTS\treatment_acquisition_report.md,True,23893,04f084a54e81bcb8eeac2a38e4107692d8099057fdbda8cb20060258c5199012
vnnic_download_log,D:\Q1_RESEARCH\VNNIC_LOGS\download_log.csv,True,41357,2a91ed144a847cb17e3f44ee550bb42bb495a97c5e748449e0ec9a2a0d9b776c
vnnic_legacy_panel,D:\Q1_RESEARCH\VNNIC_DERIVED\vnnic_province_month_legacy63.csv,True,1188451,13abe4dea4fddf3fefc3e9a822dd55feec0b7b2730d66b935c2b67372e8674ba
vnnic_monthly_raw_derived,D:\Q1_RESEARCH\VNNIC_DERIVED\vnnic_province_month_raw.csv,True,848229,8697b09f9e8285fa3487b470955e117ba62d81fb425865568fd3495d1f461eb1
vnnic_raw_manifest,D:\Q1_RESEARCH\VNNIC_RAW\SHA256_manifest.csv,True,24392,1dcc4197c3c2b2aad9b26f5940cbd5ed4085a67c4a9e68b13f0aa308582fba97
wbes_nested_manifest,D:\Q1_RESEARCH\WBES_LOGS\wbes_nested_extraction_manifest.csv,True,20164,487a00c9ecba535267a9085207d5ae7bb9e7eef5ea11c5f825c58b796f8fdf8f
wbes_outer_manifest,D:\Q1_RESEARCH\WBES_LOGS\wbes_extraction_manifest.csv,True,4138,929290e3539750bc997745912f607082c7513bd373471045bd3989effb13238d
