table_code,artifact_type,official_url,api_endpoint,retrieval_timestamp_utc,http_status,content_type,file_path,file_bytes,sha256,dimension_codes,dimension_labels,dataset_updated,vintage_interpretation
V05.02,metadata,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.02_metadata.json,1765,9ef7c4ce62082fe408c3a94fd4bab506da9f56483b21f1fbc077e7d9c1339688,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.02,request,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,2026-09-13T01:31:27.145049+00:00,LOCAL_REQUEST_PAYLOAD,application/json,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.02_request.json,1564,19c921410527ff252506df0776bfdc88f18efe7a7e572223eb780d6fae2cc6bd,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.02,response,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.02_response.json,5388,556f719f40eb0452c01ae4c769db12723ae651e7e48682012f62d71d3a1bdad3,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.02,response_headers,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.02.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.02_response_headers.json,326,8479ee37e2c3b2549c1e29ecc5a76721eb7051314914daa76fb9e2ca5803051d,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.04,metadata,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.04_metadata.json,1783,b713f48f440920e1c6005f9002b72e404010ebbfa9fc03a5bd428e183598f239,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.04,request,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,2026-09-13T01:31:27.145049+00:00,LOCAL_REQUEST_PAYLOAD,application/json,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.04_request.json,1549,2328b7fce7eba3f3bd23ef7d151684d4e51c341391d0084d562d413ca4e3d6a9,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.04,response,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.04_response.json,5531,ea6162d8fcc92625d59d3cb001fbf06a98a94eace555ea2d6e39d1e3943cddfe,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.04,response_headers,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.04.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.04_response_headers.json,326,4a7a54c470ce4001a2ceee1d39128952d026e1d5f1a6d538277c5d4a24231a04,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.05,metadata,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.05.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.05.px,2026-09-13T01:31:27.145049+00:00,200,application/json; charset=utf-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.05_metadata.json,1811,25fe4d199b8d97e49daa575440ae79e0d0d7ea7a6b73ecfe757f3bf6f97b8b93,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
V05.05,request,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.05.px,https://pxweb.nso.gov.vn/api/v1/vi/Doanh%20nghi%E1%BB%87p/V05.05.px,2026-09-13T01:31:27.145049+00:00,LOCAL_REQUEST_PAYLOAD,application/json,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\nso_official_snapshot_20260913\V05.05_request.json,1549,2328b7fce7eba3f3bd23ef7d151684d4e51c341391d0084d562d413ca4e3d6a9,Tỉnh/thành phố | Năm,Tỉnh/thành phố | Năm,2025-10-10T02:00:00Z,Latest official PXWeb vintage retrieved 2026-09-13; ex-post historical snapshot
