source_id,local_path,source_institution,official_url,file_count,total_bytes,source_vintage,geography,temporal_coverage,unit_of_observation,format,status,limitations,inventory_time_utc
gis_derived,D:\Q1_RESEARCH\GIS_DERIVED,geoBoundaries,,2,3917125,,Vietnam / varies by source,,fixed legacy-63 reference,mixed,VERIFIED,See readiness report and limitations register.,2026-09-13T06:35:41.832894+00:00
gis_logs,D:\Q1_RESEARCH\GIS_LOGS,derived/audit,,6,225442,,Vietnam / varies by source,,artifact,mixed,REFERENCE,See readiness report and limitations register.,2026-09-13T06:35:41.848001+00:00
gis_raw,D:\Q1_RESEARCH\GIS_RAW,derived/audit,,31,154807124,,Vietnam / varies by source,,artifact,mixed,REFERENCE,See readiness report and limitations register.,2026-09-13T06:35:41.926381+00:00
nso,D:\Q1_RESEARCH\NSO,National Statistics Office of Vietnam,,12,157925,,Vietnam / varies by source,,province-year workbooks,mixed,QUARANTINED_NOT_USED,See readiness report and limitations register.,2026-09-13T06:35:41.957309+00:00
ookla_logs,D:\Q1_RESEARCH\OOKLA_LOGS,derived/audit,,2,29221,,Vietnam / varies by source,,artifact,mixed,REFERENCE,See readiness report and limitations register.,2026-09-13T06:35:41.962680+00:00
ookla_raw,D:\Q1_RESEARCH\OOKLA_RAW,Ookla Open Data,,59,14590857037,,Vietnam / varies by source,,tile-quarter-network,mixed,VERIFIED_INTEGRITY,See readiness report and limitations register.,2026-09-13T06:35:42.122520+00:00
pci,D:\Q1_RESEARCH\PCI,Provincial Competitiveness Index,,15,3072492,,Vietnam / varies by source,,annual province workbooks,mixed,AUXILIARY_PENDING_AUDIT,See readiness report and limitations register.,2026-09-13T06:35:42.160589+00:00
treatment,D:\Q1_RESEARCH\TREATMENT_ACQUISITION,Vietnam government/VTF,,41,30258158,,Vietnam / varies by source,,locality evidence,mixed,FAIL_PRIMARY_ROUTE,See readiness report and limitations register.,2026-09-13T06:35:42.264887+00:00
vnnic_derived,D:\Q1_RESEARCH\VNNIC_DERIVED,VNNIC i-Speed,,7,2134819,,Vietnam / varies by source,,derived province-month,mixed,PASS_WITH_LIMITATIONS,See readiness report and limitations register.,2026-09-13T06:35:42.283030+00:00
vnnic_logs,D:\Q1_RESEARCH\VNNIC_LOGS,derived/audit,,2,42072,,Vietnam / varies by source,,artifact,mixed,REFERENCE,See readiness report and limitations register.,2026-09-13T06:35:42.288489+00:00
vnnic_raw,D:\Q1_RESEARCH\VNNIC_RAW,VNNIC i-Speed,,163,730543,,Vietnam / varies by source,,province-month,mixed,PASS_WITH_LIMITATIONS,See readiness report and limitations register.,2026-09-13T06:35:42.683678+00:00
wbes_logs,D:\Q1_RESEARCH\WBES_LOGS,derived/audit,,4,26496,,Vietnam / varies by source,,artifact,mixed,REFERENCE,See readiness report and limitations register.,2026-09-13T06:35:42.693862+00:00
wbes_raw,D:\Q1_RESEARCH\WBES_RAW,World Bank Enterprise Surveys,,8,27083632,,Vietnam / varies by source,,firm-wave,mixed,VERIFIED_EXTRACTION,See readiness report and limitations register.,2026-09-13T06:35:42.714467+00:00
wbes_raw_nested,D:\Q1_RESEARCH\WBES_RAW_NESTED,World Bank Enterprise Surveys,,27,79791984,,Vietnam / varies by source,,firm-wave/documentation,mixed,VERIFIED_EXTRACTION,See readiness report and limitations register.,2026-09-13T06:35:42.782991+00:00
