province_id_legacy63,province,year,variable,value,reason,source_lineage,review_status,retained_excluded_status
VN_LEGACY63_01,Ha Noi,2021,ftth_download_median_apr_dec_mbps,58.68,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_79,TP. Ho Chi Minh,2021,ftth_download_median_apr_dec_mbps,58.16,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_11,Dien Bien,2022,ftth_download_median_apr_dec_mbps,87.9,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_12,Lai Chau,2023,ftth_download_median_apr_dec_mbps,131.68,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_12,Lai Chau,2024,ftth_download_median_apr_dec_mbps,58.22,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_14,Son La,2024,ftth_download_median_apr_dec_mbps,55.48,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_01,Ha Noi,2021,active_firms_per_1000,21.42558551637694,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_48,Da Nang,2021,active_firms_per_1000,20.66352819936294,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_74,Binh Duong,2021,active_firms_per_1000,14.50562907595354,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_77,Ba Ria - Vung Tau,2021,active_firms_per_1000,9.68727440928713,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_79,TP. Ho Chi Minh,2021,active_firms_per_1000,29.28653576450852,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_01,Ha Noi,2022,active_firms_per_1000,22.16864801914541,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_48,Da Nang,2022,active_firms_per_1000,20.83205279190813,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_74,Binh Duong,2022,active_firms_per_1000,14.74273322514661,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_77,Ba Ria - Vung Tau,2022,active_firms_per_1000,10.12475661642749,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_79,TP. Ho Chi Minh,2022,active_firms_per_1000,29.18799363175695,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_01,Ha Noi,2023,active_firms_per_1000,22.38211098742401,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_27,Bac Ninh,2023,active_firms_per_1000,10.88543145993815,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_48,Da Nang,2023,active_firms_per_1000,20.7,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
VN_LEGACY63_74,Binh Duong,2023,active_firms_per_1000,15.3,outside_1.5_IQR,fact_vnnic_province_month_primary | nso_pxweb_V05.05_retrieved_20260913,FLAGGED_FOR_REVIEW,RETAINED
