displayed_value,source_locator,rounding_rule,status
-0.247,table_09:change Spearman=-0.24707181259600616,nearest displayed precision,PASS
-0.193,table_12:tile mean=-0.19254032258064516,nearest displayed precision,PASS
-0.178,table_12:tests weighted=-0.17842741935483872,nearest displayed precision,PASS
-0.169,table_12:devices weighted=-0.16868279569892475,nearest displayed precision,PASS
0.047,table_08:2024 Pearson log=0.04651425402869931,nearest displayed precision,PASS
0.076,table_04:rounded 2021 sd_log and CV,nearest displayed precision,PASS
0.111,table_04:2024 CV=0.1105571137842256,nearest displayed precision,PASS
0.121,table_04:2024 sd_log=0.12118578899003754,nearest displayed precision,PASS
0.220,table_08:2023 Pearson log=0.2198004990783683,nearest displayed precision,PASS
0.248,table_08:2024 Spearman=0.24810983373683076,nearest displayed precision,PASS
0.273,table_05:2021-2023=0.2730633063502975,nearest displayed precision,PASS
0.296,table_08:2023 Spearman=0.29627496159754224,nearest displayed precision,PASS
0.448,table_05:2021-2022=0.44795141972493574,nearest displayed precision,PASS
0.475,table_05:2021-2024=0.4745697621390682,nearest displayed precision,PASS
0.488,table_08:2022 Spearman=0.48787278731386163,nearest displayed precision,PASS
0.504,table_05:2023-2024=0.5040744074770446,nearest displayed precision,PASS
0.535,table_14:devices Spearman=0.5352822580645162,nearest displayed precision,PASS
0.539,table_08:2022 Pearson log=0.5393002998439278,nearest displayed precision,PASS
0.542,table_08:2021 Spearman=0.5423517271081965,nearest displayed precision,PASS
0.545,table_14:tests Spearman=0.5448828725038403,nearest displayed precision,PASS
0.583,table_14:devices Pearson=0.5832783237991073,nearest displayed precision,PASS
0.584,table_08:2021 Pearson log=0.5842486630830637,nearest displayed precision,PASS
0.591,table_14:tests Pearson=0.5912027009340203,nearest displayed precision,PASS
0.788,table_05:2022-2023=0.7876387639331088,nearest displayed precision,PASS
1.184,table_04:2021 p90/p10=1.18440038114252,nearest displayed precision,PASS
1.294,table_04:2024 p90/p10=1.2939518128899212,nearest displayed precision,PASS
1.474,table_04:2021 max/min=1.4743718592964825,nearest displayed precision,PASS
1.947,table_04:2024 max/min=1.9468276856524875,nearest displayed precision,PASS
3.65,table_04:2021 sd_level=3.6547672926102477,nearest displayed precision,PASS
4.22,table_04:2021 IQR=4.219999999999999,nearest displayed precision,PASS
9.86,table_04:2024 sd_level=9.85997477222739,nearest displayed precision,PASS
11.93,table_04:2024 IQR=11.924999999999997,nearest displayed precision,PASS
42.34,table_07:connectivity median change=42.339999999999996,nearest displayed precision,PASS
48.07,table_02:2021 median=48.07,nearest displayed precision,PASS
48.16,table_02:2021 mean=48.1604761904762,nearest displayed precision,PASS
89.18,table_02:2024 mean=89.18444444444444,nearest displayed precision,PASS
91.14,table_02:2024 median=91.14,nearest displayed precision,PASS
