source_workbook,source_sheet,source_row,source_label,normalized_label,province_id_legacy63,province_name_official,match_method,review_status
V05.02.xlsx,V05.02,6,Hà Nội,ha noi,VN_LEGACY63_01,Hà Nội,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,18,Hà Giang,ha giang,VN_LEGACY63_02,Hà Giang,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,19,Cao Bằng,cao bang,VN_LEGACY63_04,Cao Bằng,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,20,Bắc Kạn,bac kan,VN_LEGACY63_06,Bắc Kạn,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,21,Tuyên Quang,tuyen quang,VN_LEGACY63_08,Tuyên Quang,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,22,Lào Cai,lao cai,VN_LEGACY63_10,Lào Cai,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,28,Điện Biên,dien bien,VN_LEGACY63_11,Điện Biên,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,29,Lai Châu,lai chau,VN_LEGACY63_12,Lai Châu,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,30,Sơn La,son la,VN_LEGACY63_14,Sơn La,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,23,Yên Bái,yen bai,VN_LEGACY63_15,Yên Bái,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,31,Hòa Bình,hoa binh,VN_LEGACY63_17,Hòa Bình,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,24,Thái Nguyên,thai nguyen,VN_LEGACY63_19,Thái Nguyên,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,25,Lạng Sơn,lang son,VN_LEGACY63_20,Lạng Sơn,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,9,Quảng Ninh,quang ninh,VN_LEGACY63_22,Quảng Ninh,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,26,Bắc Giang,bac giang,VN_LEGACY63_24,Bắc Giang,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,27,Phú Thọ,phu tho,VN_LEGACY63_25,Phú Thọ,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,7,Vĩnh Phúc,vinh phuc,VN_LEGACY63_26,Vĩnh Phúc,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,8,Bắc Ninh,bac ninh,VN_LEGACY63_27,Bắc Ninh,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,10,Hải Dương,hai duong,VN_LEGACY63_30,Hải Dương,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,11,Hải Phòng,hai phong,VN_LEGACY63_31,Hải Phòng,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,12,Hưng Yên,hung yen,VN_LEGACY63_33,Hưng Yên,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,13,Thái Bình,thai binh,VN_LEGACY63_34,Thái Bình,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,14,Hà Nam,ha nam,VN_LEGACY63_35,Hà Nam,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,15,Nam Định,nam dinh,VN_LEGACY63_36,Nam Định,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,16,Ninh Bình,ninh binh,VN_LEGACY63_37,Ninh Bình,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,33,Thanh Hóa,thanh hoa,VN_LEGACY63_38,Thanh Hóa,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,34,Nghệ An,nghe an,VN_LEGACY63_40,Nghệ An,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,35,Hà Tĩnh,ha tinh,VN_LEGACY63_42,Hà Tĩnh,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,36,Quảng Bình,quang binh,VN_LEGACY63_44,Quảng Bình,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,37,Quảng Trị,quang tri,VN_LEGACY63_45,Quảng Trị,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,38,Thừa Thiên - Huế,thua thien hue,VN_LEGACY63_46,Thừa Thiên Huế,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,39,Đà Nẵng,da nang,VN_LEGACY63_48,Đà Nẵng,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,40,Quảng Nam,quang nam,VN_LEGACY63_49,Quảng Nam,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,41,Quảng Ngãi,quang ngai,VN_LEGACY63_51,Quảng Ngãi,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,42,Bình Định,binh dinh,VN_LEGACY63_52,Bình Định,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,43,Phú Yên,phu yen,VN_LEGACY63_54,Phú Yên,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,44,Khánh Hòa,khanh hoa,VN_LEGACY63_56,Khánh Hòa,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,45,Ninh Thuận,ninh thuan,VN_LEGACY63_58,Ninh Thuận,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,46,Bình Thuận,binh thuan,VN_LEGACY63_60,Bình Thuận,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,48,Kon Tum,kon tum,VN_LEGACY63_62,Kon Tum,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,49,Gia Lai,gia lai,VN_LEGACY63_64,Gia Lai,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,50,Đắk Lắk,dak lak,VN_LEGACY63_66,Đắk Lắk,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,51,Đắk Nông,dak nong,VN_LEGACY63_67,Đắk Nông,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,52,Lâm Đồng,lam dong,VN_LEGACY63_68,Lâm Đồng,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,54,Bình Phước,binh phuoc,VN_LEGACY63_70,Bình Phước,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,55,Tây Ninh,tay ninh,VN_LEGACY63_72,Tây Ninh,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,56,Bình Dương,binh duong,VN_LEGACY63_74,Bình Dương,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,57,Đồng Nai,dong nai,VN_LEGACY63_75,Đồng Nai,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,58,Bà Rịa - Vũng Tàu,ba ria vung tau,VN_LEGACY63_77,Bà Rịa - Vũng Tàu,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,59,TP. Hồ Chí Minh,ho chi minh,VN_LEGACY63_79,TP. Hồ Chí Minh,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,61,Long An,long an,VN_LEGACY63_80,Long An,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,62,Tiền Giang,tien giang,VN_LEGACY63_82,Tiền Giang,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
V05.02.xlsx,V05.02,63,Bến Tre,ben tre,VN_LEGACY63_83,Bến Tre,normalized_name_exact_candidate,PENDING_AUTHORITATIVE_IDENTIFIER_REVIEW
