table_code,measure_id,px_geo_code,px_geo_label,px_year_code,year,official_value,join_label,local_geo_label,local_value,source_cell,_merge,absolute_difference,cell_status,numeric_tolerance
V05.02,new_registrations,63,An Giang,0,2016,619.0,an giang,An Giang,619.0,B67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,1,2017,778.0,an giang,An Giang,778.0,C67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,2,2018,724.0,an giang,An Giang,724.0,D67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,3,2019,720.0,an giang,An Giang,720.0,E67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,4,2020,858.0,an giang,An Giang,858.0,F67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,5,2021,604.0,an giang,An Giang,604.0,G67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,6,2022,879.0,an giang,An Giang,879.0,H67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,7,2023,931.0,an giang,An Giang,931.0,I67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,63,An Giang,8,2024,1060.0,an giang,An Giang,1060.0,J67,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,0,2016,1368.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1368.0,B58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,1,2017,1601.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1601.0,C58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,2,2018,1616.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1616.0,D58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,3,2019,1740.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1740.0,E58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,4,2020,1951.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1951.0,F58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,5,2021,1400.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1400.0,G58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,6,2022,1933.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1933.0,H58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,7,2023,1931.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1931.0,I58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,54,Bà Rịa - Vũng Tàu,8,2024,1826.0,ba ria vung tau,Bà Rịa - Vũng Tàu,1826.0,J58,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,0,2016,869.0,bac giang,Bắc Giang,869.0,B26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,1,2017,1297.0,bac giang,Bắc Giang,1297.0,C26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,2,2018,1209.0,bac giang,Bắc Giang,1209.0,D26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,3,2019,1356.0,bac giang,Bắc Giang,1356.0,E26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,4,2020,1332.0,bac giang,Bắc Giang,1332.0,F26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,5,2021,1399.0,bac giang,Bắc Giang,1399.0,G26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,6,2022,1706.0,bac giang,Bắc Giang,1706.0,H26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,7,2023,2308.0,bac giang,Bắc Giang,2308.0,I26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,22,Bắc Giang,8,2024,1990.0,bac giang,Bắc Giang,1990.0,J26,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,0,2016,92.0,bac kan,Bắc Kạn,92.0,B20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,1,2017,66.0,bac kan,Bắc Kạn,66.0,C20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,2,2018,79.0,bac kan,Bắc Kạn,79.0,D20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,3,2019,66.0,bac kan,Bắc Kạn,66.0,E20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,4,2020,64.0,bac kan,Bắc Kạn,64.0,F20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,5,2021,107.0,bac kan,Bắc Kạn,107.0,G20,both,0.0,MATCHED,1e-12
V05.02,new_registrations,16,Bắc Kạn,6,2022,116.0,bac kan,Bắc Kạn,116.0,H20,both,0.0,MATCHED,1e-12
