source_workbook,source_sheet,source_row,original_label,normalized_label,exclusion_status,exclusion_reason
V05.02.xlsx,V05.02,4,CẢ NƯỚC,ca nuoc,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,5,Đồng bằng sông Hồng,dong bang song hong,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,17,Trung du và miền núi phía Bắc,trung du va mien nui phia bac,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,32,Bắc Trung Bộ và duyên hải miền Trung,bac trung bo va duyen hai mien trung,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,47,Tây Nguyên,tay nguyen,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,53,Đông Nam Bộ,dong nam bo,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.02.xlsx,V05.02,60,Đồng bằng sông Cửu Long,dong bang song cuu long,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,4,CẢ NƯỚC,ca nuoc,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,5,Đồng bằng sông Hồng,dong bang song hong,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,17,Trung du và miền núi phía Bắc,trung du va mien nui phia bac,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,32,Bắc Trung Bộ và duyên hải miền Trung,bac trung bo va duyen hai mien trung,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,47,Tây Nguyên,tay nguyen,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,53,Đông Nam Bộ,dong nam bo,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.04.xlsx,V05.04,60,Đồng bằng sông Cửu Long,dong bang song cuu long,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,4,CẢ NƯỚC,ca nuoc,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,5,Đồng bằng sông Hồng,dong bang song hong,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,17,Trung du và miền núi phía Bắc,trung du va mien nui phia bac,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,32,Bắc Trung Bộ và duyên hải miền Trung,bac trung bo va duyen hai mien trung,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,47,Tây Nguyên,tay nguyen,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,53,Đông Nam Bộ,dong nam bo,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
V05.05.xlsx,V05.05,60,Đồng bằng sông Cửu Long,dong bang song cuu long,EXCLUDED_FROM_PROVINCE_CANDIDATE,NATIONAL_REGION_OR_UNRESOLVED_AGGREGATE
