variable,missing_count,missing_rate
province_id_legacy63,0,0.0
shapeISO,0,0.0
province_name_canonical,0,0.0
year,0,0.0
ftth_download_median_apr_dec_mbps,0,0.0
ftth_upload_median_apr_dec_mbps,0,0.0
ftth_ping_median_apr_dec_ms,0,0.0
ftth_jitter_median_apr_dec_ms,0,0.0
active_firms_per_1000,0,0.0
exposure_complete,0,0.0
outcome_complete,0,0.0
merge_status_connectivity,0,0.0
merge_status_nso,0,0.0
vnnic_semantic_status,0,0.0
nso_semantic_status,0,0.0
source_lineage_ids,0,0.0
run_id,0,0.0
config_hash,0,0.0
effective_protocol_hash,0,0.0
