px_geo_code,px_geo_label,normalized_label,province_id_legacy63,vnnic_code,match_method,match_status,review_status
2,Hà Nội,ha noi,VN_LEGACY63_01,01,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
3,Vĩnh Phúc,vinh phuc,VN_LEGACY63_26,26,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
4,Bắc Ninh,bac ninh,VN_LEGACY63_27,27,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
5,Quảng Ninh,quang ninh,VN_LEGACY63_22,22,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
6,Hải Dương,hai duong,VN_LEGACY63_30,30,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
7,Hải Phòng,hai phong,VN_LEGACY63_31,31,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
8,Hưng Yên,hung yen,VN_LEGACY63_33,33,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
9,Thái Bình,thai binh,VN_LEGACY63_34,34,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
10,Hà Nam,ha nam,VN_LEGACY63_35,35,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
11,Nam Định,nam dinh,VN_LEGACY63_36,36,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
12,Ninh Bình,ninh binh,VN_LEGACY63_37,37,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
14,Hà Giang,ha giang,VN_LEGACY63_02,02,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
15,Cao Bằng,cao bang,VN_LEGACY63_04,04,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
16,Bắc Kạn,bac kan,VN_LEGACY63_06,06,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
17,Tuyên Quang,tuyen quang,VN_LEGACY63_08,08,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
18,Lào Cai,lao cai,VN_LEGACY63_10,10,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
19,Yên Bái,yen bai,VN_LEGACY63_15,15,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
20,Thái Nguyên,thai nguyen,VN_LEGACY63_19,19,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
21,Lạng Sơn,lang son,VN_LEGACY63_20,20,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
22,Bắc Giang,bac giang,VN_LEGACY63_24,24,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
23,Phú Thọ,phu tho,VN_LEGACY63_25,25,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
24,Điện Biên,dien bien,VN_LEGACY63_11,11,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
25,Lai Châu,lai chau,VN_LEGACY63_12,12,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
26,Sơn La,son la,VN_LEGACY63_14,14,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
27,Hòa Bình,hoa binh,VN_LEGACY63_17,17,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
29,Thanh Hóa,thanh hoa,VN_LEGACY63_38,38,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
30,Nghệ An,nghe an,VN_LEGACY63_40,40,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
31,Hà Tĩnh,ha tinh,VN_LEGACY63_42,42,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
32,Quảng Bình,quang binh,VN_LEGACY63_44,44,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
33,Quảng Trị,quang tri,VN_LEGACY63_45,45,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
34,Thừa Thiên - Huế,thua thien hue,VN_LEGACY63_46,46,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
35,Đà Nẵng,da nang,VN_LEGACY63_48,48,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
36,Quảng Nam,quang nam,VN_LEGACY63_49,49,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
37,Quảng Ngãi,quang ngai,VN_LEGACY63_51,51,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
38,Bình Định,binh dinh,VN_LEGACY63_52,52,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
39,Phú Yên,phu yen,VN_LEGACY63_54,54,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
40,Khánh Hòa,khanh hoa,VN_LEGACY63_56,56,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
41,Ninh Thuận,ninh thuan,VN_LEGACY63_58,58,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
42,Bình Thuận,binh thuan,VN_LEGACY63_60,60,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
44,Kon Tum,kon tum,VN_LEGACY63_62,62,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
45,Gia Lai,gia lai,VN_LEGACY63_64,64,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
46,Đắk Lắk,dak lak,VN_LEGACY63_66,66,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
47,Đắk Nông,dak nong,VN_LEGACY63_67,67,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
48,Lâm Đồng,lam dong,VN_LEGACY63_68,68,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
50,Bình Phước,binh phuoc,VN_LEGACY63_70,70,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
51,Tây Ninh,tay ninh,VN_LEGACY63_72,72,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
52,Bình Dương,binh duong,VN_LEGACY63_74,74,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
53,Đồng Nai,dong nai,VN_LEGACY63_75,75,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
54,Bà Rịa - Vũng Tàu,ba ria vung tau,VN_LEGACY63_77,77,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
55,TP. Hồ Chí Minh,ho chi minh,VN_LEGACY63_79,79,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
57,Long An,long an,VN_LEGACY63_80,80,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
58,Tiền Giang,tien giang,VN_LEGACY63_82,82,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
59,Bến Tre,ben tre,VN_LEGACY63_83,83,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
60,Trà Vinh,tra vinh,VN_LEGACY63_84,84,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
61,Vĩnh Long,vinh long,VN_LEGACY63_86,86,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
62,Đồng Tháp,dong thap,VN_LEGACY63_87,87,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
63,An Giang,an giang,VN_LEGACY63_89,89,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
64,Kiên Giang,kien giang,VN_LEGACY63_91,91,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
65,Cần Thơ,can tho,VN_LEGACY63_92,92,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
66,Hậu Giang,hau giang,VN_LEGACY63_93,93,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
67,Sóc Trăng,soc trang,VN_LEGACY63_94,94,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
68,Bạc Liêu,bac lieu,VN_LEGACY63_95,95,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
69,Cà Mau,ca mau,VN_LEGACY63_96,96,official_px_code_plus_exact_normalized_legal_name,MATCHED,SYSTEMATIC_DETERMINISTIC_AUDIT
