network,province_id_legacy63,month
ftth,VN_LEGACY63_02,2019-12-01
ftth,VN_LEGACY63_02,2020-01-01
ftth,VN_LEGACY63_02,2020-02-01
ftth,VN_LEGACY63_02,2020-03-01
ftth,VN_LEGACY63_02,2020-04-01
ftth,VN_LEGACY63_02,2020-06-01
ftth,VN_LEGACY63_02,2020-07-01
ftth,VN_LEGACY63_02,2020-08-01
ftth,VN_LEGACY63_02,2020-09-01
ftth,VN_LEGACY63_02,2020-10-01
ftth,VN_LEGACY63_02,2020-11-01
ftth,VN_LEGACY63_02,2020-12-01
ftth,VN_LEGACY63_02,2021-03-01
ftth,VN_LEGACY63_04,2019-12-01
ftth,VN_LEGACY63_04,2020-01-01
ftth,VN_LEGACY63_04,2020-02-01
ftth,VN_LEGACY63_04,2020-03-01
ftth,VN_LEGACY63_04,2020-05-01
ftth,VN_LEGACY63_04,2020-06-01
ftth,VN_LEGACY63_04,2020-11-01
ftth,VN_LEGACY63_06,2019-12-01
ftth,VN_LEGACY63_06,2020-01-01
ftth,VN_LEGACY63_06,2020-02-01
ftth,VN_LEGACY63_06,2020-03-01
ftth,VN_LEGACY63_08,2019-12-01
ftth,VN_LEGACY63_08,2020-01-01
ftth,VN_LEGACY63_08,2020-02-01
ftth,VN_LEGACY63_08,2020-03-01
ftth,VN_LEGACY63_08,2020-05-01
ftth,VN_LEGACY63_08,2020-06-01
ftth,VN_LEGACY63_08,2020-07-01
ftth,VN_LEGACY63_08,2020-08-01
ftth,VN_LEGACY63_10,2019-12-01
ftth,VN_LEGACY63_10,2020-02-01
ftth,VN_LEGACY63_10,2020-03-01
ftth,VN_LEGACY63_10,2020-07-01
ftth,VN_LEGACY63_11,2019-12-01
ftth,VN_LEGACY63_11,2020-01-01
ftth,VN_LEGACY63_11,2020-02-01
ftth,VN_LEGACY63_11,2020-03-01
ftth,VN_LEGACY63_12,2019-12-01
ftth,VN_LEGACY63_12,2020-01-01
ftth,VN_LEGACY63_12,2020-02-01
ftth,VN_LEGACY63_12,2020-03-01
ftth,VN_LEGACY63_12,2020-05-01
ftth,VN_LEGACY63_12,2020-06-01
ftth,VN_LEGACY63_12,2020-07-01
ftth,VN_LEGACY63_12,2020-08-01
ftth,VN_LEGACY63_12,2020-11-01
ftth,VN_LEGACY63_14,2019-12-01
ftth,VN_LEGACY63_14,2020-01-01
ftth,VN_LEGACY63_14,2020-02-01
ftth,VN_LEGACY63_14,2020-03-01
ftth,VN_LEGACY63_14,2020-07-01
ftth,VN_LEGACY63_15,2019-12-01
ftth,VN_LEGACY63_15,2020-01-01
ftth,VN_LEGACY63_15,2020-02-01
ftth,VN_LEGACY63_15,2020-03-01
ftth,VN_LEGACY63_15,2020-05-01
ftth,VN_LEGACY63_15,2020-06-01
ftth,VN_LEGACY63_15,2020-07-01
ftth,VN_LEGACY63_17,2019-12-01
ftth,VN_LEGACY63_17,2020-01-01
ftth,VN_LEGACY63_17,2020-02-01
ftth,VN_LEGACY63_17,2020-06-01
ftth,VN_LEGACY63_17,2020-07-01
ftth,VN_LEGACY63_19,2019-12-01
ftth,VN_LEGACY63_19,2020-02-01
ftth,VN_LEGACY63_20,2019-12-01
ftth,VN_LEGACY63_20,2020-01-01
ftth,VN_LEGACY63_20,2020-02-01
ftth,VN_LEGACY63_20,2020-03-01
ftth,VN_LEGACY63_20,2020-06-01
ftth,VN_LEGACY63_20,2020-07-01
ftth,VN_LEGACY63_22,2019-12-01
ftth,VN_LEGACY63_22,2020-02-01
ftth,VN_LEGACY63_22,2020-03-01
ftth,VN_LEGACY63_24,2019-12-01
ftth,VN_LEGACY63_24,2020-02-01
ftth,VN_LEGACY63_24,2020-07-01
ftth,VN_LEGACY63_25,2019-12-01
ftth,VN_LEGACY63_25,2020-02-01
ftth,VN_LEGACY63_25,2020-03-01
ftth,VN_LEGACY63_25,2020-07-01
ftth,VN_LEGACY63_26,2019-12-01
ftth,VN_LEGACY63_26,2020-01-01
ftth,VN_LEGACY63_26,2020-02-01
ftth,VN_LEGACY63_26,2020-03-01
ftth,VN_LEGACY63_26,2020-07-01
ftth,VN_LEGACY63_27,2019-12-01
ftth,VN_LEGACY63_27,2020-02-01
ftth,VN_LEGACY63_30,2019-12-01
ftth,VN_LEGACY63_30,2020-02-01
ftth,VN_LEGACY63_30,2020-03-01
ftth,VN_LEGACY63_30,2020-07-01
ftth,VN_LEGACY63_31,2020-02-01
ftth,VN_LEGACY63_31,2020-03-01
ftth,VN_LEGACY63_33,2019-12-01
ftth,VN_LEGACY63_33,2020-02-01
ftth,VN_LEGACY63_33,2020-03-01
ftth,VN_LEGACY63_34,2019-12-01
ftth,VN_LEGACY63_34,2020-01-01
ftth,VN_LEGACY63_34,2020-02-01
ftth,VN_LEGACY63_34,2020-03-01
ftth,VN_LEGACY63_34,2020-05-01
