aggregation_variant,year,n,point_estimate,boot_ci_low,boot_ci_high,boot_mean,n_boot
unweighted_tile_median,2021,63,0.5423517271081966,0.33317155329665754,0.7053770804411219,0.535908627742972,10000
unweighted_tile_median,2022,63,0.4878727873138617,0.22272146795851447,0.704448443047523,0.4843657763795537,10000
unweighted_tile_median,2023,63,0.29627496159754224,0.06033375481196967,0.5050120304980249,0.29106832342460504,10000
unweighted_tile_median,2024,63,0.24810983373683074,-0.006156354295444962,0.48863638048326097,0.24464677967785534,10000
unweighted_tile_mean,2021,63,0.46050452453079566,0.23179036409081497,0.6446230445130297,0.45449088105031626,10000
unweighted_tile_mean,2022,63,0.4281976815193055,0.15630315530234576,0.6551483516117074,0.424053525055762,10000
unweighted_tile_mean,2023,63,0.34394201228878646,0.112178027393992,0.5482634815051017,0.3369780317503979,10000
unweighted_tile_mean,2024,63,0.2745361592610883,0.03606386272009134,0.4868682039048146,0.2699158057898536,10000
tests_weighted_mean,2021,63,0.443967069229966,0.2132029622968127,0.6344727119145596,0.43709051490338136,10000
tests_weighted_mean,2022,63,0.4014833306487345,0.128168714038391,0.6379137896308816,0.39680523310855415,10000
tests_weighted_mean,2023,63,0.4124903993855607,0.1869109482667761,0.6013028246467161,0.4069984405617917,10000
tests_weighted_mean,2024,63,0.26099896798435696,0.010591428085329311,0.4822472618468429,0.2558934017521144,10000
devices_weighted_mean,2021,63,0.4771619903925892,0.24150476828298376,0.6648990569883082,0.46998630794315577,10000
devices_weighted_mean,2022,63,0.42570146185125574,0.15367480998657895,0.6526865841242492,0.41892924840076495,10000
devices_weighted_mean,2023,63,0.35714285714285715,0.12642337509020873,0.5570100152650758,0.3508814708718645,10000
devices_weighted_mean,2024,63,0.270527806524893,0.032043822747824906,0.4800019947757171,0.2659984458296413,10000
