province_id_legacy63,shapeISO,province_name_canonical,year,ftth_download_median_apr_dec_mbps,active_firms_per_1000,exposure_complete,outcome_complete,merge_status_connectivity,merge_status_nso
VN_LEGACY63_01,VN-HN,Ha Noi,2021,58.68,21.42558551637694,True,True,both,both
VN_LEGACY63_01,VN-HN,Ha Noi,2022,69.51,22.16864801914541,True,True,both,both
VN_LEGACY63_01,VN-HN,Ha Noi,2023,90.13,22.38211098742401,True,True,both,both
VN_LEGACY63_01,VN-HN,Ha Noi,2024,97.81,22.57907426743093,True,True,both,both
VN_LEGACY63_02,VN-03,Ha Giang,2021,50.85,1.406853450511,True,True,both,both
VN_LEGACY63_02,VN-03,Ha Giang,2022,58.27,1.42597423836957,True,True,both,both
VN_LEGACY63_02,VN-03,Ha Giang,2023,91.51,1.6,True,True,both,both
VN_LEGACY63_02,VN-03,Ha Giang,2024,88.87,1.6,True,True,both,both
VN_LEGACY63_04,VN-04,Cao Bang,2021,45.93,2.1799390281013,True,True,both,both
VN_LEGACY63_04,VN-04,Cao Bang,2022,49.42,2.25024491208945,True,True,both,both
VN_LEGACY63_04,VN-04,Cao Bang,2023,67.63,2.3,True,True,both,both
VN_LEGACY63_04,VN-04,Cao Bang,2024,70.38,2.2,True,True,both,both
VN_LEGACY63_06,VN-53,Bac Kan,2021,39.8,2.02340452992547,True,True,both,both
VN_LEGACY63_06,VN-53,Bac Kan,2022,42.14,2.18280700348078,True,True,both,both
VN_LEGACY63_06,VN-53,Bac Kan,2023,71.38,2.3,True,True,both,both
VN_LEGACY63_06,VN-53,Bac Kan,2024,77.17,2.3,True,True,both,both
VN_LEGACY63_08,VN-07,Tuyen Quang,2021,51.34,1.98336468463254,True,True,both,both
VN_LEGACY63_08,VN-07,Tuyen Quang,2022,68.77,2.1780084439712,True,True,both,both
VN_LEGACY63_08,VN-07,Tuyen Quang,2023,89.63,2.3,True,True,both,both
VN_LEGACY63_08,VN-07,Tuyen Quang,2024,91.45,2.3,True,True,both,both
VN_LEGACY63_10,VN-02,Lao Cai,2021,47.45,4.00582761291,True,True,both,both
VN_LEGACY63_10,VN-02,Lao Cai,2022,54.67,4.19159889383316,True,True,both,both
VN_LEGACY63_10,VN-02,Lao Cai,2023,86.46,4.6,True,True,both,both
VN_LEGACY63_10,VN-02,Lao Cai,2024,85.8,4.7,True,True,both,both
VN_LEGACY63_11,VN-71,Dien Bien,2021,42.33,1.72135487906522,True,True,both,both
VN_LEGACY63_11,VN-71,Dien Bien,2022,87.9,1.74925826086819,True,True,both,both
VN_LEGACY63_11,VN-71,Dien Bien,2023,96.02,1.77968436137187,True,True,both,both
VN_LEGACY63_11,VN-71,Dien Bien,2024,90.23,1.76182210640954,True,True,both,both
VN_LEGACY63_12,VN-01,Lai Chau,2021,47.13,2.27828522458876,True,True,both,both
VN_LEGACY63_12,VN-01,Lai Chau,2022,84.55,2.51402210348146,True,True,both,both
VN_LEGACY63_12,VN-01,Lai Chau,2023,131.68,2.55680773051124,True,True,both,both
VN_LEGACY63_12,VN-01,Lai Chau,2024,58.22,2.60356872053817,True,True,both,both
VN_LEGACY63_14,VN-05,Son La,2021,44.74,1.61836732655665,True,True,both,both
VN_LEGACY63_14,VN-05,Son La,2022,49.15,1.63984232285357,True,True,both,both
VN_LEGACY63_14,VN-05,Son La,2023,94.34,1.66674407750017,True,True,both,both
VN_LEGACY63_14,VN-05,Son La,2024,55.48,1.71053224909438,True,True,both,both
VN_LEGACY63_15,VN-06,Yen Bai,2021,47.46,2.23930810482383,True,True,both,both
VN_LEGACY63_15,VN-06,Yen Bai,2022,49.15,2.38419819532721,True,True,both,both
VN_LEGACY63_15,VN-06,Yen Bai,2023,70.97,2.55981971388463,True,True,both,both
VN_LEGACY63_15,VN-06,Yen Bai,2024,86.14,2.65970491747153,True,True,both,both
VN_LEGACY63_17,VN-14,Hoa Binh,2021,50.11,3.05027866981439,True,True,both,both
VN_LEGACY63_17,VN-14,Hoa Binh,2022,77.05,3.30371187794087,True,True,both,both
VN_LEGACY63_17,VN-14,Hoa Binh,2023,90.13,3.37545458468961,True,True,both,both
VN_LEGACY63_17,VN-14,Hoa Binh,2024,83.21,3.48909225468473,True,True,both,both
VN_LEGACY63_19,VN-69,Thai Nguyen,2021,49.53,3.90507501039187,True,True,both,both
VN_LEGACY63_19,VN-69,Thai Nguyen,2022,50.72,4.06965037833452,True,True,both,both
VN_LEGACY63_19,VN-69,Thai Nguyen,2023,87.71,4.25372775105621,True,True,both,both
VN_LEGACY63_19,VN-69,Thai Nguyen,2024,76.48,4.45576262775167,True,True,both,both
VN_LEGACY63_20,VN-09,Lang Son,2021,41.98,2.78565862631895,True,True,both,both
VN_LEGACY63_20,VN-09,Lang Son,2022,44.41,2.92610554925258,True,True,both,both
VN_LEGACY63_20,VN-09,Lang Son,2023,75.19,3.39148907179973,True,True,both,both
VN_LEGACY63_20,VN-09,Lang Son,2024,82.4,3.43983724655771,True,True,both,both
VN_LEGACY63_22,VN-13,Quang Ninh,2021,51.61,7.00891719802103,True,True,both,both
VN_LEGACY63_22,VN-13,Quang Ninh,2022,51.28,7.26992037426736,True,True,both,both
VN_LEGACY63_22,VN-13,Quang Ninh,2023,76.45,7.44877339235589,True,True,both,both
VN_LEGACY63_22,VN-13,Quang Ninh,2024,91.21,7.70627263768659,True,True,both,both
VN_LEGACY63_24,VN-54,Bac Giang,2021,47.17,3.79525096357123,True,True,both,both
VN_LEGACY63_24,VN-54,Bac Giang,2022,61.09,4.17837830691328,True,True,both,both
VN_LEGACY63_24,VN-54,Bac Giang,2023,84.09,4.52999365488834,True,True,both,both
VN_LEGACY63_24,VN-54,Bac Giang,2024,84.7,4.82167626432704,True,True,both,both
VN_LEGACY63_25,VN-68,Phu Tho,2021,50.01,3.70604010999449,True,True,both,both
VN_LEGACY63_25,VN-68,Phu Tho,2022,57.65,4.02328137061851,True,True,both,both
VN_LEGACY63_25,VN-68,Phu Tho,2023,83.35,4.27802386521971,True,True,both,both
VN_LEGACY63_25,VN-68,Phu Tho,2024,85.94,4.43752392512626,True,True,both,both
VN_LEGACY63_26,VN-70,Vinh Phuc,2021,48.07,6.98282159144254,True,True,both,both
VN_LEGACY63_26,VN-70,Vinh Phuc,2022,61.33,7.5984288787057,True,True,both,both
VN_LEGACY63_26,VN-70,Vinh Phuc,2023,81.7,8.07118692759955,True,True,both,both
VN_LEGACY63_26,VN-70,Vinh Phuc,2024,93.18,8.35720523304687,True,True,both,both
VN_LEGACY63_27,VN-56,Bac Ninh,2021,53.02,9.53145880398785,True,True,both,both
VN_LEGACY63_27,VN-56,Bac Ninh,2022,60.26,10.00772719637158,True,True,both,both
VN_LEGACY63_27,VN-56,Bac Ninh,2023,89.51,10.88543145993815,True,True,both,both
VN_LEGACY63_27,VN-56,Bac Ninh,2024,92.46,11.71607807904884,True,True,both,both
VN_LEGACY63_30,VN-61,Hai Duong,2021,50.11,5.22827896890449,True,True,both,both
VN_LEGACY63_30,VN-61,Hai Duong,2022,55.0,5.44734490091534,True,True,both,both
VN_LEGACY63_30,VN-61,Hai Duong,2023,79.21,5.73563739978987,True,True,both,both
VN_LEGACY63_30,VN-61,Hai Duong,2024,89.67,6.04125799826298,True,True,both,both
VN_LEGACY63_31,VN-HP,Hai Phong,2021,51.2,9.55709077153028,True,True,both,both
VN_LEGACY63_31,VN-HP,Hai Phong,2022,52.24,9.9280563135829,True,True,both,both
VN_LEGACY63_31,VN-HP,Hai Phong,2023,81.3,9.99370079039404,True,True,both,both
VN_LEGACY63_31,VN-HP,Hai Phong,2024,92.66,10.49742535846733,True,True,both,both
VN_LEGACY63_33,VN-66,Hung Yen,2021,52.3,6.48008034448491,True,True,both,both
VN_LEGACY63_33,VN-66,Hung Yen,2022,53.11,6.94734950249912,True,True,both,both
VN_LEGACY63_33,VN-66,Hung Yen,2023,85.27,7.4972290843911,True,True,both,both
VN_LEGACY63_33,VN-66,Hung Yen,2024,91.14,8.23103652337526,True,True,both,both
VN_LEGACY63_34,VN-20,Thai Binh,2021,48.23,2.92493233992719,True,True,both,both
VN_LEGACY63_34,VN-20,Thai Binh,2022,65.4,3.15830715162536,True,True,both,both
VN_LEGACY63_34,VN-20,Thai Binh,2023,91.43,3.43987653632324,True,True,both,both
VN_LEGACY63_34,VN-20,Thai Binh,2024,90.64,3.67281451490894,True,True,both,both
VN_LEGACY63_35,VN-63,Ha Nam,2021,44.01,5.48436071404222,True,True,both,both
VN_LEGACY63_35,VN-63,Ha Nam,2022,44.79,5.86297850241216,True,True,both,both
VN_LEGACY63_35,VN-63,Ha Nam,2023,72.14,6.12136166715957,True,True,both,both
VN_LEGACY63_35,VN-63,Ha Nam,2024,88.82,6.50626527177468,True,True,both,both
VN_LEGACY63_36,VN-67,Nam Dinh,2021,49.18,3.51528208300749,True,True,both,both
VN_LEGACY63_36,VN-67,Nam Dinh,2022,61.29,3.64865887277327,True,True,both,both
VN_LEGACY63_36,VN-67,Nam Dinh,2023,92.84,3.77192717499188,True,True,both,both
VN_LEGACY63_36,VN-67,Nam Dinh,2024,86.54,3.94308110425276,True,True,both,both
VN_LEGACY63_37,VN-18,Ninh Binh,2021,49.39,4.70935231963188,True,True,both,both
VN_LEGACY63_37,VN-18,Ninh Binh,2022,67.65,5.10709363631597,True,True,both,both
VN_LEGACY63_37,VN-18,Ninh Binh,2023,89.6,5.48617003391004,True,True,both,both
VN_LEGACY63_37,VN-18,Ninh Binh,2024,82.72,5.67676138288198,True,True,both,both
VN_LEGACY63_38,VN-21,Thanh Hoa,2021,45.51,3.79073669663451,True,True,both,both
VN_LEGACY63_38,VN-21,Thanh Hoa,2022,62.13,4.16274970386015,True,True,both,both
VN_LEGACY63_38,VN-21,Thanh Hoa,2023,81.17,4.4,True,True,both,both
VN_LEGACY63_38,VN-21,Thanh Hoa,2024,77.42,4.5,True,True,both,both
