parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s08_descriptive_01_table_01_panel_coverage,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_01_table_01_panel_coverage,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_02_table_02_connectivity_summary_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_02_table_02_connectivity_summary_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_03_table_03_enterprise_summary_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_03_table_03_enterprise_summary_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_04_table_04_connectivity_dispersion,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_04_table_04_connectivity_dispersion,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_05_table_05_connectivity_rank_persistence,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_05_table_05_connectivity_rank_persistence,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_06_table_06_connectivity_quartile_transitions,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_06_table_06_connectivity_quartile_transitions,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_07_table_07_change_distributions,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_07_table_07_change_distributions,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_08_descriptive_map_bins,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_08_descriptive_map_bins,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_09_figure_01_ftth_distribution_by_year_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_09_figure_01_ftth_distribution_by_year_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_10_figure_01_ftth_distribution_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_10_figure_01_ftth_distribution_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_11_figure_01_ftth_distribution_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_11_figure_01_ftth_distribution_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_12_figure_06_firm_density_distribution_by_year_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_12_figure_06_firm_density_distribution_by_year_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_13_figure_06_firm_density_distribution_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_13_figure_06_firm_density_distribution_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_14_figure_06_firm_density_distribution_by_year,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_14_figure_06_firm_density_distribution_by_year,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_15_figure_02_ftth_average_province_trend_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_15_figure_02_ftth_average_province_trend_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_16_figure_02_ftth_average_province_trend,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_16_figure_02_ftth_average_province_trend,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_17_figure_02_ftth_average_province_trend,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_17_figure_02_ftth_average_province_trend,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_18_figure_07_firm_density_average_province_trend_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_18_figure_07_firm_density_average_province_trend_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_19_figure_07_firm_density_average_province_trend,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_19_figure_07_firm_density_average_province_trend,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_20_figure_07_firm_density_average_province_trend,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_20_figure_07_firm_density_average_province_trend,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_21_figure_03_ftth_maps_2021_2024_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_21_figure_03_ftth_maps_2021_2024_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_22_figure_03_ftth_maps_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_22_figure_03_ftth_maps_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_23_figure_03_ftth_maps_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_23_figure_03_ftth_maps_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_24_figure_08_firm_density_maps_2021_2024_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_24_figure_08_firm_density_maps_2021_2024_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_25_figure_08_firm_density_maps_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_25_figure_08_firm_density_maps_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_26_figure_08_firm_density_maps_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_26_figure_08_firm_density_maps_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_27_figure_04_ftth_change_map_2021_2024_data,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_27_figure_04_ftth_change_map_2021_2024_data,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_28_figure_04_ftth_change_map_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_28_figure_04_ftth_change_map_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_29_figure_04_ftth_change_map_2021_2024,image_dpi_fix
s00_preflight_02_treatment_readiness_evidence,s08_descriptive_29_figure_04_ftth_change_map_2021_2024,image_dpi_fix
s00_preflight_01_environment,s08_descriptive_30_figure_09_firm_density_change_map_2021_2024_data,image_dpi_fix
