parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s10_ookla_pilot_01_ookla_fixed_q2_adm1_2021_2024,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_01_ookla_fixed_q2_adm1_2021_2024,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_02_vnnic_q2_validation_2021_2024,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_02_vnnic_q2_validation_2021_2024,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_03_ookla_validation_partition_manifest,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_03_ookla_validation_partition_manifest,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_04_ookla_validation_lineage,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_04_ookla_validation_lineage,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_05_ookla_preflight,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_05_ookla_preflight,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_06_ookla_2024q2_benchmark,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_06_ookla_2024q2_benchmark,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_07_ookla_spatial_assignment_audit,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_07_ookla_spatial_assignment_audit,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_08_ookla_coverage_audit,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_08_ookla_coverage_audit,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_09_ookla_composition_audit,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_09_ookla_composition_audit,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_10_measurement_validation_decision,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_10_measurement_validation_decision,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_11_table_08_measurement_validation_by_year,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_11_table_08_measurement_validation_by_year,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_12_table_09_measurement_change_concordance,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_12_table_09_measurement_change_concordance,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_13_table_10_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_13_table_10_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_14_table_11_ookla_aggregation_sensitivity,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_14_table_11_ookla_aggregation_sensitivity,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_15_figure_10_vnnic_ookla_rank_comparison_data,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_15_figure_10_vnnic_ookla_rank_comparison_data,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_16_figure_10_vnnic_ookla_rank_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_16_figure_10_vnnic_ookla_rank_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_17_figure_10_vnnic_ookla_rank_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_17_figure_10_vnnic_ookla_rank_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_18_figure_11_measurement_change_comparison_data,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_18_figure_11_measurement_change_comparison_data,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_19_figure_11_measurement_change_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_19_figure_11_measurement_change_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_20_figure_11_measurement_change_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_20_figure_11_measurement_change_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_21_figure_12_dispersion_source_comparison_data,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_21_figure_12_dispersion_source_comparison_data,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_22_figure_12_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_22_figure_12_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_23_figure_12_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_23_figure_12_dispersion_source_comparison,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_24_ookla_validation_report,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_24_ookla_validation_report,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_25_ookla_validation_limitations,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_25_ookla_validation_limitations,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_26_ookla_validation_next_action,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_26_ookla_validation_next_action,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_27_ookla_validation_addendum_20260913,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_27_ookla_validation_addendum_20260913,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_28_ookla_validation_addendum_lock,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_28_ookla_validation_addendum_lock,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_29_counter_hypotheses,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_29_counter_hypotheses,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_30_official_methodology_record,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_30_official_methodology_record,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_31_ookla_semantic_evidence,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_31_ookla_semantic_evidence,image_dpi_ookla_300
s00_preflight_01_environment,s10_ookla_pilot_32_ookla_validation_stable_hashes,image_dpi_ookla_300
s00_preflight_02_treatment_readiness_evidence,s10_ookla_pilot_32_ookla_validation_stable_hashes,image_dpi_ookla_300
