artifact_id,path,stage,run_id,file_size,sha256,row_count,column_count,schema_fingerprint,config_hash,code_hash,parent_artifact_ids,creation_time,validation_status
s00_preflight_01_environment,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T013442Z\environment.json,s00_preflight,run_20260913T013442Z,2767,03974c9845e57d02c515527e609e44e945dfb250ae69535acbf7195791703803,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,074715a20d63dcb17baf8044d23e8bf35fd6be2100bd73948544478206236817,,2026-09-13T01:34:43.486668+00:00,PASS
s00_preflight_02_treatment_readiness_evidence,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T013442Z\treatment_readiness_evidence.json,s00_preflight,run_20260913T013442Z,782,fbb43a6a5248a0262a49a79ece47bb95b629ec499f2de031bebf2faa5c8207dc,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,074715a20d63dcb17baf8044d23e8bf35fd6be2100bd73948544478206236817,,2026-09-13T01:34:43.494458+00:00,PASS
s01_inventory_01_source_inventory,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\source_inventory.csv,s01_inventory,run_20260913T013442Z,3202,2251010c90793bdf3f816c9e0258a1e43ecd55fc31c0626adfd5995167e865fe,14,14,46a5d649e8feca7ec90dc0e398bd61de4d6eb59f4b703e0bff5c7c171ebe3fe7,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,c7120d39eb397968fc1fb3fe9b8df35a1adfe41df81320e639c6ea8f697a6903,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T01:34:44.710957+00:00,PASS
s01_inventory_02_declared_inputs,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\declared_inputs.csv,s01_inventory,run_20260913T013442Z,2544,bad45d467ea2f954290fb25dd802a085d64665bc462b1b2d71028447f89dd870,16,5,f3370d13a8b25100134a23c801de80a0a93d6efef36fdcb15201203cf330484d,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,c7120d39eb397968fc1fb3fe9b8df35a1adfe41df81320e639c6ea8f697a6903,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T01:34:44.723640+00:00,PASS
s02_semantics_01_semantic_registry,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\semantic_registry.csv,s02_semantics,run_20260913T013442Z,2244,5bf249218b8d47bd5ae446dfd299edc8d9bf07105e472d7864e8f77fff65d9e6,4,9,e5f5dfc9fa528b1b059bcb65908151fb5c21f69a42c6447454e33fa03f5f42a2,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,9427b168289dfc1258fbe2bc6424d406ec82d9415c35dfa1542006e4a26643b1,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:34:44.749958+00:00,PASS
s02_semantics_02_missing_document_request,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\missing_document_request.md,s02_semantics,run_20260913T013442Z,576,451f0f6c868996d6803a772538ff9fda61490555ad7fb77e27c16d7503ac7bf5,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,9427b168289dfc1258fbe2bc6424d406ec82d9415c35dfa1542006e4a26643b1,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:34:44.756524+00:00,PASS
s03_geography_01_dim_province_legacy63,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\dim_province_legacy63.parquet,s03_geography,run_20260913T013442Z,8708,c76ec45c1c95f9fe5ecf967cc750e2d8fff5ac77d68520ee70cba4fddf7c626a,63,8,2d998c72be225a5f4cbeac04c9e057893122fa958bd5468e8930141feab87cb7,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,2cf74dab8ff111c258d6a9d8668a3c6454f9195b2b906cac96a6878db13e3127,s02_semantics_01_semantic_registry | s02_semantics_02_missing_document_request,2026-09-13T01:34:45.019558+00:00,PASS
s03_geography_02_geography_gate,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\geography_gate.json,s03_geography,run_20260913T013442Z,481,1dd41bca5e3f709cf59d7eb21543dfb79f469de7612c4a80eaa059d9aa456c48,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,2cf74dab8ff111c258d6a9d8668a3c6454f9195b2b906cac96a6878db13e3127,s02_semantics_01_semantic_registry | s02_semantics_02_missing_document_request,2026-09-13T01:34:45.026029+00:00,PASS
s04_nso_01_fact_nso_measure_candidates,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\quarantine\fact_nso_measure_candidates.parquet,s04_nso,run_20260913T013442Z,27058,e3b3519817569bd260df1f90b2813a590f664261c8b5eb11d4ae356b11c640b7,1575,13,01dcae02678e15d36ff433906af7aa74fb9f0d5c031ff6e887e3636233b6a950,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,e3ec838ff34aa29074d1ccf2a5a57e3abd58e8114f33b1be18704a95dbbe5fef,s03_geography_01_dim_province_legacy63 | s03_geography_02_geography_gate,2026-09-13T01:34:54.810586+00:00,PASS
s04_nso_02_nso_name_crosswalk_review,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\nso_name_crosswalk_review.csv,s04_nso,run_20260913T013442Z,27256,2a832c3a0d6e3d8c7f6966c0138185cc0aa9753871349f4be83946bb3cdbd16f,189,9,7944f04c3e5a8c2b8a1e01c414a78a3c1b8b6bed652761ccd23ee4157670b52f,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,e3ec838ff34aa29074d1ccf2a5a57e3abd58e8114f33b1be18704a95dbbe5fef,s03_geography_01_dim_province_legacy63 | s03_geography_02_geography_gate,2026-09-13T01:34:54.825635+00:00,PASS
s04_nso_03_nso_row_exclusions,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\nso_row_exclusions.csv,s04_nso,run_20260913T013442Z,3104,2d78316bbf2bfb1bc789edf2cd1aa34f60ba245b3124cfea958fc5f428123cb1,21,7,d1db9f84abaa91fdd570003901a5e93b9ed756835b2b8bcc95fed394427073af,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,e3ec838ff34aa29074d1ccf2a5a57e3abd58e8114f33b1be18704a95dbbe5fef,s03_geography_01_dim_province_legacy63 | s03_geography_02_geography_gate,2026-09-13T01:34:54.838353+00:00,PASS
s04_nso_04_nso_structural_audit,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\nso_structural_audit.json,s04_nso,run_20260913T013442Z,521,58290f62d8ecc3d4c9422b69c213a3ef57d3948c4d72a05d05384f96751a033e,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,e3ec838ff34aa29074d1ccf2a5a57e3abd58e8114f33b1be18704a95dbbe5fef,s03_geography_01_dim_province_legacy63 | s03_geography_02_geography_gate,2026-09-13T01:34:54.845683+00:00,PASS
