parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s17_latex_conversion_01_manuscript,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_01_manuscript,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_02_appendix,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_02_appendix,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_03_table_02,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_03_table_02,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_04_table_04,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_04_table_04,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_05_table_05,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_05_table_05,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_06_table_06,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_06_table_06,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_07_table_07,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_07_table_07,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_08_table_08,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_08_table_08,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_09_table_09,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_09_table_09,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_10_table_10,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_10_table_10,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_11_table_11,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_11_table_11,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_12_table_12,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_12_table_12,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_13_table_13,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_13_table_13,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_14_table_14,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_14_table_14,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_15_manuscript,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_15_manuscript,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_16_latex_build,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_16_latex_build,run_20260913T120913Z
s00_preflight_01_environment,s17_latex_conversion_17_latex_conversion_audit,run_20260913T120913Z
s00_preflight_02_treatment_readiness_evidence,s17_latex_conversion_17_latex_conversion_audit,run_20260913T120913Z
